index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
2	0.912	105.99721059968412	0.256140350877193
3	1	275.72515716347766	0.2781
4	0.996	281.02251565936547	0.32148594377510054
6	0.996	289.16502148412184	0.39638554216867505
7	0.992	276.6467733838457	0.4081653225806457
8	0.992	253.47506132462067	0.4355846774193554
9	0.976	262.916868703328	0.45584016393442695
10	0.976	289.66581587198493	0.4821721311475417
12	0.974	259.0425531915996	0.4815195071868589
13	0.962	250.28619003017016	0.48814968814968895
14	0.946	253.71453092323333	0.5009513742071888
15	0.92	243.9541790412041	0.5118478260869568
16	0.89	247.12611762095554	0.5298876404494377
17	0.916	240.0796770981077	0.532860262008733
18	0.864	236.19464188084487	0.546527777777777
19	0.852	227.99036660416763	0.5514084507042241
20	0.826	231.9052164636188	0.5628329297820811
21	0.822	208.92639284251726	0.5613138686131378
22	0.806	233.97584765435937	0.5808933002481366
23	0.752	218.09744779580342	0.5868351063829764
24	0.736	216.0892542572541	0.610190217391302
25	0.694	197.48449149178603	0.6028818443804013
26	0.686	206.36544130924244	0.6128279883381899
27	0.676	199.76359338050642	0.6088757396449682
28	0.626	179.4210375465031	0.6241214057507967
29	0.578	175.55582553749034	0.6375432525951539
30	0.546	174.2404901709923	0.6384615384615361
31	0.572	161.75555681229312	0.6358391608391586
32	0.552	162.0479098168226	0.6420289855072442
33	0.51	157.46572804746518	0.6486928104575144
34	0.45	139.14656771798002	0.6524444444444424
35	0.398	128.42023748061675	0.6600502512562793
36	0.384	123.32198599784891	0.6600074404761882
37	0.414	121.83637433793866	0.6763285024154568
38	0.378	121.81759587499286	0.6724867724867701
39	0.318	104.79831268123905	0.66761006289308
40	0.304	99.80957383938959	0.6779605263157876
41	0.224	78.02159526289786	0.6906249999999992
42	0.228	77.5351968985467	0.6767543859649119
43	0.184	60.7822410148632	0.7021739130434782
44	0.214	73.7016117922208	0.7060747663551393
45	0.182	61.79126773951518	0.7219780219780214
46	0.152	55.056505360764646	0.7315789473684208
47	0.178	59.448266648834576	0.7050561797752807
48	0.144	48.66180048659915	0.698611111111111
49	0.162	53.992800959857455	0.748765432098765
50	0.108	38.341380289732975	0.7481481481481482
51	0.13	41.92466460268098	0.7499999999999997
52	0.076	27.80826930113251	0.747368421052632
53	0.12	39.03200624510408	0.7266666666666666
54	0.038	13.809143106339516	0.8000000000000003
56	0.04	14.090460758060056	0.74
58	0.044	16.228976099134986	0.7636363636363638
59	0.076	26.077408729056216	0.7394736842105268
60	0.076	25.975801490215108	0.742105263157895
61	0.03	10.529271374418803	0.7733333333333334
62	0.08	28.178936245157324	0.7725000000000005
63	0.02	7.1782355896861745	0.7999999999999999
64	0.03	10.326311441549311	0.7300000000000001
65	0.032	11.134307585247832	0.75
66	0.006	2.331002331005151	0.8000000000000002
67	0.028	9.564148107668004	0.725
68	0.016	5.610098176720153	0.7999999999999999
70	0.014	5.00751126690058	0.7714285714285714
72	0.018	6.349206349200157	0.7555555555555554
74	0.024	8.69943453675634	0.75
82	0.026	8.95810363837123	0.7192307692307692
84	0.03	11.174849139534532	0.7300000000000001
85	0.026	8.943313153556486	0.7653846153846153
86	0.014	4.8252567725944875	0.7428571428571429
90	0.008	2.885794675709417	0.8
98	0.01	3.4556638330203566	0.8
114	0.012	4.1744938426227565	0.7999999999999999
115	0	0	
116	0.006	2.084925985128696	0.8000000000000002
117	0.004	1.4196479273147857	0.8
118	0	0	
122	0.004	1.4188422247437384	0.8
130	0	0	
258	0	0	
