index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
2	0.01	0.11588828369450754	0.5333333333333333
3	0.036	0.4040086637413289	0.4324074074074075
4	0.048	0.5451410893281674	0.5243055555555555
5	0.054	0.6097478353952087	0.5678130511463844
6	0.1	1.344017375456629	0.5617619047619048
7	0.07	0.8112631134887717	0.6144217687074831
8	0.076	0.9096305942282316	0.5983709273182958
9	0.062	0.728849264567566	0.5801075268817206
10	0.118	1.6490534712574103	0.6298224374495563
11	0.044	0.5273490403446209	0.6373376623376624
12	0.058	0.692965918024412	0.6095238095238096
13	0.048	0.5990131258752074	0.6335317460317459
14	0.086	1.1416131258958906	0.6633259505352533
15	0.028	0.31962959496081234	0.624829931972789
16	0.038	0.4657901639826527	0.6763157894736842
17	0.028	0.3235378400613791	0.6520408163265305
18	0.026	0.32555996313660246	0.6576923076923078
19	0.038	0.4319782101096822	0.6840852130325814
20	0.046	0.5605668061584179	0.6891304347826086
21	0.016	0.17481829823127482	0.7249999999999999
22	0.028	0.3672468292171679	0.7477324263038548
23	0.016	0.1969633180440272	0.725
24	0.02	0.26526254360248924	0.6919047619047618
25	0.016	0.1871056164428386	0.6880952380952381
26	0.008	0.09896458304984161	0.7333333333333334
27	0.02	0.24268840507607561	0.7335714285714284
28	0.03	0.38804611022577984	0.7047619047619046
29	0.018	0.2186456119040463	0.7370370370370369
30	0.018	0.24596817171857194	0.7738095238095237
31	0.006	0.07018528916339364	0.7333333333333334
32	0.01	0.1334354559355918	0.6757142857142858
33	0.006	0.07168852768490469	0.7333333333333334
34	0.004	0.056420195044608455	0.8
35	0.002	0.02562558458364633	0.8
36	0.006	0.07017067848029114	0.7333333333333334
37	0	0	
38	0.004	0.04470172772177482	0.8285714285714285
39	0	0	
40	0.002	0.02065752915293901	0.8
41	0.002	0.020851013254988095	0.6
42	0.002	0.023224326088115577	0.8
43	0	0	
44	0	0	
45	0.002	0.020592529442168456	0.8
46	0	0	
47	0	0	
48	0	0	
49	0.002	0.020493189088603782	0.8
50	0	0	
51	0	0	
52	0	0	
53	0	0	
54	0	0	
55	0	0	
56	0	0	
57	0	0	
58	0	0	
59	0	0	
60	0	0	
61	0	0	
62	0	0	
63	0	0	
64	0	0	
65	0	0	
66	0	0	
67	0	0	
68	0	0	
69	0	0	
70	0	0	
71	0	0	
72	0	0	
73	0	0	
74	0	0	
75	0	0	
76	0	0	
78	0	0	
82	0	0	
98	0	0	
130	0	0	
258	0	0	
