index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.928	328.9613612190117	0.344109195402299
3	0.976	273.0375426621223	0.28405054644808747
4	1	233.30689188585816	0.23563333333333522
5	0.998	196.41029678026743	0.20973375322072785
6	0.996	175.02548061710513	0.19899837445018195
7	0.992	152.65765904417123	0.18877608166922683
8	0.992	137.82754883713199	0.17463597670251052
9	0.996	126.08871784484765	0.16466066285343461
10	1	119.04478464793245	0.1561272727272734
11	0.998	107.91755877076537	0.14853249622788697
12	0.998	100.00000000004081	0.14544840596944875
13	1	95.55661729577962	0.1360336996337005
14	1	85.87524045071326	0.13044523809523823
15	0.998	81.37771326994478	0.12468564580140673
17	1	73.33851592179606	0.11830103199174485
33	1	41.2459578961255	0.08100142602495555
65	1	22.15379162143818	0.05709827610200785
129	1	11.467889908256307	0.040573127904700856
257	1	5.806290535165834	0.031197455827534547
