index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
5	0.036	10.891927871248708	0.29894179894179884
9	0.354	69.25695504174853	0.22284996861268055
17	0.178	15.969281561762985	0.1779201300529611
33	0.354	15.125102543070277	0.12371868041924738
65	0.446	8.4794743486405	0.09664405626254521
66	0.722	10.656323243773105	0.09180607880337939
67	0.73	9.767558859576873	0.09157828097812624
69	0.842	14.95065573363009	0.09160476358327849
73	0.792	12.255584647095072	0.09053889790251217
81	0.904	16.47987049446874	0.08532517690729423
97	0.922	12.34032529204592	0.08176971816550913
113	0.954	11.80517744889298	0.07425678407774527
121	0.97	10.144491018465123	0.07481884662139007
125	0.964	6.491687407742827	0.07292500422902964
127	0.982	6.35337168647723	0.07353840166444002
128	0.978	7.79845848875783	0.07301362747025332
129	0.634	4.694766150291698	0.07293180498559228
193	0.784	3.3516362311876544	0.0659219993129255
257	0.928	3.313528336380274	0.06028444848663744
