index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.858	314.6545401198254	0.34498834498834474
3	0.94	256.4382365778948	0.27953900709219864
4	0.976	248.08093132000764	0.238080601092898
5	0.986	189.01924699008768	0.21305901671013275
6	0.99	187.67060964525993	0.1886123136123135
7	1	175.1374829241904	0.17985714285714288
8	1	158.493676102184	0.17223888888889025
9	0.998	128.50888488288902	0.1649804659824706
10	0.998	128.8373654178589	0.1549978745369534
11	1	118.37961976459736	0.14810572760572746
12	1	108.51636426774652	0.14045521145521192
13	1	98.74202658130622	0.13653104395604457
14	1	88.42045695691763	0.13247967032967045
15	1	83.56871855725167	0.12512696078431373
17	1	79.17029530519383	0.11625103199174498
33	1	43.35874155588679	0.08114692831678143
65	1	23.753194804700456	0.056482950848902785
129	1	11.963267981987794	0.040156384538001876
257	1	6.17238991233971	0.029550230052969924
