index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
2048	0.018	11.139992573341175	0.3611111111111111
3072	0.004	2.1581957483544167	0.5
3584	0.038	19.193857965441577	0.3157894736842105
3648	0.166	73.13419684571184	0.3855421686746988
3712	0.228	102.61949770459398	0.36929824561403496
3840	0.252	110.14948859139443	0.35767195767195775
4096	0.284	132.99615997007834	0.4017605633802816
4160	0.254	97.92582311657316	0.3954068241469816
4192	0.302	105.16785067563357	0.37604856512141277
4224	0.448	155.1783858675513	0.34181547619047625
4256	0.552	179.6991991667357	0.32693236714975854
4272	0.578	182.85352736475463	0.3174740484429065
4288	0.726	230.08176459432045	0.315702479338843
4320	0.818	243.46687302774814	0.30839445802770993
4352	0.956	308.1286662800585	0.2796722454672246
4608	0.958	318.9930740544273	0.28712595685455816
5120	0.946	318.84057970969457	0.2793516560958421
6144	0.856	275.02891659186025	0.2774532710280374
8192	0.958	219.0815953166338	0.27901878914405015
