index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
2048	0	0	
3072	0	0	
3584	0	0	
3840	0	0	
3844	0.19	36.44594490908868	0.29859649122807014
3848	0.288	55.69953196915748	0.29085648148148147
3856	0.328	62.612148283929095	0.3016260162601626
3872	0.306	61.72092460369847	0.3189542483660131
3904	0.248	56.64945863216347	0.33454301075268816
3968	0.334	73.88726661355366	0.32804391217564866
4096	0.25	136.6269537654745	0.4020000000000001
4224	0.388	93.94218197666873	0.345618556701031
4256	0.506	105.30258886217044	0.31403162055335976
4288	0.734	147.15316760210288	0.29745685740236155
4352	0.916	217.44290936719196	0.28482532751091705
4608	0.928	323.6381390812035	0.2833333333333333
5120	0.914	300.5194975996032	0.27560175054704594
6144	0.946	321.00441126568126	0.2791754756871036
8192	0.948	318.4413839429011	0.2813291139240507
