index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
2048	0.06	41.84684056357007	0.6116666666666666
2560	0.104	65.02438414438438	0.5371336996336997
2816	0.112	58.091286307057445	0.5244047619047622
2944	0.108	55.54984055143815	0.44506172839506175
2976	0.126	62.79278381316873	0.48333333333333345
2992	0.302	158.89719036025932	0.45132450331125823
3008	0.312	172.2614840978925	0.418482905982906
3072	0.272	145.1750640484646	0.39865196078431364
4096	0.358	201.05582387979095	0.4194599627560523
4224	0.508	175.14825541312942	0.35150918635170614
4256	0.628	210.964794409821	0.32085987261146504
4272	0.768	248.15820085254535	0.33289930555555564
4288	0.832	280.021540118475	0.32536057692307696
4320	0.95	312.60282987780636	0.30870175438596503
4352	0.994	356.42570281004873	0.29094567404426563
4608	0.988	340.1969561319714	0.2881578947368423
5120	0.96	319.34003060305355	0.2821875000000001
6144	0.99	370.5921988481576	0.287979797979798
8192	0.992	332.4842472173629	0.28528225806451624
