index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
2048	0	0	
3072	0	0	
3584	0	0	
3840	0	0	
3904	0.244	45.312732134899804	0.33620218579234973
3968	0.202	44.552271724749794	0.31336633663366326
4096	0.258	115.99676288119616	0.3700258397932816
4160	0.276	51.249675047357776	0.40289855072463754
4192	0.448	75.0770880815231	0.35424107142857153
4224	0.514	124.07067683687866	0.35103761348897533
4256	0.484	102.37319683588275	0.3256198347107438
4272	0.62	121.10321118858944	0.3260752688172044
4280	0.648	92.09254732537309	0.321141975308642
4288	0.85	178.79680269243886	0.2924313725490197
4352	0.966	226.50534608867648	0.27660455486542446
4608	0.97	238.99866949171133	0.28453608247422685
5120	0.968	230.69590085816478	0.2767561983471075
6144	0.968	224.38572090874817	0.2822314049586777
8192	0.972	325.5845112877211	0.280761316872428
