index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
1024	0	0	
1536	0.002	1.543924656473545	0.5
1792	0.182	126.72329759117703	0.6124542124542125
2048	0.224	181.6118047677007	0.6121882086167802
2304	0.214	137.53213367637036	0.5576101468624834
2368	0.242	165.98079561057102	0.5557851239669422
2400	0.128	89.77416187329237	0.55390625
2416	0.134	85.9966628160981	0.5306680881307747
2432	0.444	283.8148811040446	0.5499195624195623
2560	0.474	317.31155442259734	0.5226793248945146
3072	0.46	290.7344204264489	0.41144927536231884
4096	0.638	387.747660141422	0.46107628004179757
4224	0.704	246.84431977442728	0.3363636363636365
4288	0.874	302.5058839811936	0.3053394355453853
4352	0.99	412.3625458175328	0.2788888888888889
4608	0.996	388.5464617306518	0.2861445783132531
5120	0.998	387.00170621950355	0.28507014028056116
6144	1	389.985180561924	0.2851000000000001
8192	0.996	384.4075646468027	0.2884538152610442
