index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.926	405.8199666934917	0.35709143268538573
3	0.996	351.81914517768774	0.29196787148594383
4	1	302.7734043837064	0.24586666666666862
5	1	271.28207910504375	0.22904761904761978
6	0.998	233.95377186025127	0.20275073957438725
7	1	208.2986168966716	0.19477222222222224
8	0.998	176.78735917242486	0.17234468937875902
9	1	172.52087502568338	0.17072121212121308
10	1	155.64686838516772	0.16502447552447636
11	1	139.0085907307488	0.1567564102564101
12	1	129.73870624555784	0.1501648351648357
13	1	126.10022445835955	0.14477142857142905
14	1	113.48419165215623	0.13348333333333354
15	1	111.05681666752163	0.13237892156862746
17	1	105.2210694668851	0.12321637426900667
33	1	59.26558092121781	0.08904873949579846
65	1	32.39307047435968	0.06408868942003308
129	1	17.141191998489454	0.050517019427071444
257	1	8.429030931171773	0.04686559996142819
