index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.944	446.46235338506943	0.3573446327683625
3	0.986	379.9907507313233	0.28904665314401634
4	0.996	324.15543839099087	0.24933065595716394
5	1	289.62001853575543	0.2207619047619052
6	1	235.87130861397614	0.2030833333333337
7	1	222.98532756563839	0.1992833333333334
8	1	201.17486118952766	0.1799111111111126
9	1	180.76644974671393	0.18066993006993065
10	1	165.88149426062137	0.15838578088578162
11	1	158.16778438556216	0.15253030303030304
12	1	148.17009927405087	0.1492857142857149
13	1	136.0063106928467	0.13793031135531203
14	1	130.28297462083742	0.1359666666666668
15	1	119.63439728188082	0.12729803921568628
17	1	110.85245538196826	0.1224929824561412
33	1	60.40836051708197	0.08903193277310938
65	1	31.395399945995965	0.06439665309814611
129	1	16.268839315928073	0.050375113436182326
257	1	8.214348495378292	0.04620639105436842
