index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.86	426.1645193053158	0.38759689922480633
3	1	498.00796807655917	0.34600000000000003
4	1	406.1738424142289	0.23999999999999988
5	1	357.14285714434203	0.3571428571428572
6	1	351.3703443261501	0.26071428571428595
7	1	301.38637732258985	0.20888888888888885
8	1	165.23463318160623	0.22955555555555537
9	1	191.0584638985684	0.2709090909090907
10	1	115.52680221943838	0.19787878787878782
11	1	170.53206002724448	0.16256410256410267
12	1	182.88222384416642	0.15626373626373635
13	1	157.8781180876905	0.17314285714285713
14	1	111.45786892471313	0.13308333333333344
15	1	95.84052137289393	0.13898993808049537
17	1	96.41342074895162	0.12777777777777766
33	1	57.04506560192394	0.10583193277310919
65	1	31.248046997140435	0.07002797202797198
129	1	16.33133002351227	0.12440751614797413
257	1	8.234247883804988	0.08641974200113736
