index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
2048	0	0	
3072	0	0	
3584	0.22	188.0341879900337	0.3772727272727273
4096	0.4	183.15018313971765	0.44750000000000006
4160	0.28	121.42237640416877	0.40119047619047615
4224	0.12	62.630480169952385	0.3611111111111111
4256	0.32	148.83720930474328	0.3333333333333333
4257	0.68	201.1834319593148	0.31813725490196076
4258	0.84	415.0197628269441	0.3297619047619048
4259	0.98	519.0677966004397	0.37142857142857133
4260	0.6	180.72289155321081	0.29944444444444446
4264	0.76	364.68330133802897	0.29342105263157897
4272	0.86	275.46444588060587	0.34069767441860466
4288	0.94	307.79305827210925	0.3148936170212766
4352	1	343.6426116868733	0.28300000000000003
4608	1	480.7692308058258	0.336
5120	1	333.3333333139308	0.28800000000000003
6144	1	509.683995907528	0.279
8192	1	436.300174517056	0.28300000000000003
