index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
50000	0.034	1.4471410451762268	0.4441176470588235
50781	0.09	3.079555175363332	0.3911111111111111
51171	0.15	4.906482444606142	0.43333333333333324
51562	0.208	6.868358660405652	0.46682692307692303
51563	0.074	1.8433547062839024	0.44729729729729734
51565	0.094	2.634056671449169	0.46063829787234034
51568	0.068	2.2126053427911283	0.40588235294117647
51574	0.016	0.4838748699586335	0.41875
51586	0.028	0.8470166862287363	0.48214285714285715
51610	0.07	2.376587220751171	0.41714285714285715
51659	0.05	1.5999078453082032	0.4599999999999999
51757	0.084	2.732933804439121	0.4321428571428571
51952	0.066	2.2078304386223584	0.396969696969697
52343	0.112	3.6076662908682975	0.45089285714285715
53125	0.098	3.339262227492401	0.43061224489795924
56250	0.122	3.8941555747069487	0.4598360655737706
62500	0.118	3.2990751406298036	0.4338983050847458
75000	0.098	2.4524770017716695	0.4857142857142857
100000	0.104	1.7844825515354805	0.47403846153846163
