index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.208	39.166949120621474	0.39567307692307685
3	0.002	0.45495905368510203	0.4
4	0.166	31.241766100807087	0.5092369477911648
5	0.09	20.880701591573985	0.5007407407407408
6	0.164	26.972796947467362	0.5126016260162604
7	0.116	14.42893748290061	0.5189655172413792
8	0.184	42.679532380774674	0.5752717391304352
9	0.054	9.105625252932347	0.6333333333333334
10	0.146	35.6706572196367	0.6659817351598176
11	0.026	4.2345276872968185	0.6076923076923078
12	0.072	18.200202224476925	0.6750000000000003
13	0	0	
14	0.054	11.3876001687091	0.6469135802469137
15	0.078	19.693985759740727	0.6119658119658122
16	0.084	16.378100140388213	0.6190476190476194
17	0.05	7.759637469738983	0.6119999999999999
18	0.16	31.762417119959014	0.6325000000000004
19	0.026	5.849005669038508	0.6423076923076922
20	0	0	
21	0	0	
22	0	0	
23	0.044	6.821493907166396	0.6477272727272727
24	0	0	
25	0.028	4.473558076371317	0.6964285714285714
26	0.01	2.2456770716364236	0.7200000000000001
27	0.04	8.766546857186544	0.6914285714285715
28	0.034	7.661799170720994	0.723529411764706
29	0.002	0.5076399817249472	0.6
30	0.012	2.845759817870044	0.7999999999999999
31	0	0	
32	0.002	0.6236357966950189	0.8
33	0	0	
34	0.004	0.6650262685375152	0.8
35	0	0	
36	0	0	
37	0	0	
38	0	0	
39	0	0	
40	0	0	
41	0	0	
42	0	0	
43	0	0	
44	0	0	
45	0	0	
46	0	0	
47	0	0	
48	0	0	
49	0	0	
50	0	0	
51	0	0	
52	0	0	
53	0	0	
54	0	0	
55	0	0	
56	0	0	
57	0	0	
58	0	0	
59	0	0	
60	0	0	
61	0	0	
62	0	0	
63	0	0	
64	0	0	
65	0	0	
66	0	0	
67	0	0	
68	0	0	
69	0	0	
70	0	0	
71	0	0	
72	0	0	
73	0	0	
74	0	0	
75	0	0	
76	0	0	
80	0	0	
96	0	0	
128	0	0	
256	0	0	
