index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
625	0	0	
937	0	0	
1093	0	0	
1171	0	0	
1180	0	0	
1185	0	0	
1187	0	0	
1188	0	0	
1189	0	0	
1190	0.3208	783.050185510767	0.41348192019950103
1191	0	0	
1192	0	0	
1195	0	0	
1200	0	0	
1205	0	0	
1207	0	0	
1208	0	0	
1209	0	0	
1210	0.2131	539.9858098499271	0.43065853277021576
1211	0	0	
1212	0	0	
1215	0	0	
1220	0	0	
1225	0	0	
1227	0	0	
1228	0	0	
1229	0	0	
1230	0.3047	735.6704814310345	0.4237993654961175
1231	0	0	
1232	0	0	
1235	0	0	
1240	0	0	
1245	0	0	
1247	0	0	
1248	0	0	
1249	0	0	
1250	0.6129	1260.6960671374006	0.4393301944697004
1251	0	0	
1252	0	0	
1253	0	0	
1254	0.3016	718.4544653280376	0.4149259504862952
1255	0	0	
1256	0	0	
1259	0	0	
1269	0	0	
1289	0	0	
1328	0	0	
1367	0	0	
1376	0	0	
1381	0	0	
1383	0	0	
1384	0	0	
1385	0	0	
1386	0.0893	227.3653121501776	0.4426091825307947
1387	0	0	
1388	0	0	
1391	0	0	
1396	0	0	
1401	0	0	
1403	0	0	
1404	0	0	
1405	0	0	
1406	0.1945	462.97398300382514	0.42285347043701677
1407	0	0	
1408	0	0	
1409	0	0	
1410	0.3457	771.2730355631417	0.4060312409603717
1411	0	0	
1412	0	0	
1415	0	0	
1425	0	0	
1445	0	0	
1484	0	0	
1562	0.0536	133.25377883893168	0.42985074626865705
1875	0	0	
2031	0.0071	16.056809444077874	0.3612676056338028
2109	0.0617	131.8798760292061	0.40559157212317715
2111	0.2579	456.30672871093213	0.4098293912369117
2113	0.4498	761.3792169565211	0.41395805543204645
2118	0.3545	652.2659110536778	0.4043159379407632
2123	0.2818	525.7364601387188	0.4049858055358408
2125	0.3656	670.0388534570461	0.3909828592268435
2126	0.248	444.7792245042624	0.37468413978494486
2128	0.6503	1058.5343620794858	0.44101184068891786
2138	0.3673	680.1977814417286	0.3963245303566584
2148	0.1593	306.3638286825776	0.41158192090395396
2187	0.141	277.77777777772684	0.4126950354609917
2226	0.1672	324.00589101661546	0.392434210526314
2245	0.1419	271.78701398249274	0.40197322057787055
2246	0.167	324.7889844015817	0.4049999999999986
2247	0.5004	816.5929600689226	0.41746935784706
2248	0.443	756.9285445768097	0.43884499623777595
2249	0.2127	400.6555153707896	0.3887635166901724
2250	0.2977	551.6947424979174	0.4171705296159446
2251	0.2102	394.6454386732807	0.4011893434823969
2252	0.3948	674.3069907250573	0.4144165822357344
2253	0.2174	408.90025767896117	0.4017479300827949
2254	0.4356	753.5158885278411	0.40550581573309213
2255	0.0622	128.1892749682169	0.3922025723472673
2256	0.5752	902.8126569530107	0.43498493277701045
2257	0.5204	795.1229201353106	0.42722905457340965
2258	0.1947	365.9705644622668	0.4003680876562215
2260	0.1509	288.64914495457646	0.4375414181577191
2262	0.1521	301.39700782740164	0.39893710278325556
2263	0.2278	427.0155772577908	0.38059701492537173
2264	0.1088	214.79478017149833	0.4178768382352927
2265	0.3181	558.0310153671923	0.4433930629781012
2304	0.2524	452.82477260180633	0.4573815183759719
2305	0.3468	589.4650961179337	0.4424067666282215
2306	0.3941	665.2375004243039	0.39553835743889315
2307	0.1758	326.1474527850242	0.42122677284793153
2308	0.6338	955.5109978733781	0.4128642053223991
2309	0.1263	246.8822080613205	0.4347585114806005
2310	0.2326	425.89812136081235	0.4118586987675534
2311	0.4661	743.0256655523727	0.41057712937138297
2312	0.1978	378.37631035391604	0.42940680822379335
2313	0.7786	1152.0989627251224	0.3895068070896542
2314	0.2037	365.4139384687038	0.4097283586974292
2315	0.1887	340.36796536830843	0.45176647235470596
2318	0.1375	267.7962800654537	0.4012363636363626
2323	0.1247	240.05698225000916	0.42714514835605377
2328	0.0668	134.33075933028007	0.4221556886227548
2330	0.1359	264.4792153201405	0.439661515820455
2331	0.6989	1026.7220989840619	0.40552296465875587
2332	0.4964	767.6605220828154	0.4293748321246351
2333	0.2369	418.2334975192566	0.4201421134093131
2334	0.1919	344.9577566064798	0.43586937641132356
2335	0.6925	1015.8129437319932	0.39795667870036705
2336	0.2003	378.38144174064735	0.42805791313030284
2337	0.0996	194.69856908318303	0.3869979919678704
2338	0.3531	605.8266419602126	0.40392712168413253
2340	0.3363	573.694984644645	0.45009416195857
2341	0.1678	318.4121140827812	0.3860846245530383
2342	0.4527	734.3780416609799	0.45017671747294363
2343	0.5766	905.635484075215	0.40518268007862723
2344	0.391	656.2274474264536	0.45755328218244123
2345	0.1371	267.00683584266227	0.3752005835156812
2347	0.2016	368.40758744270363	0.42687665343915143
2348	0.1689	304.039458525208	0.39301361752516145
2349	0.4319	683.2347264861343	0.4097784981091346
2350	0.431	688.4434150622594	0.407242293669211
2351	0.506	766.5969760318761	0.39946969696970086
2352	0.1069	206.37065637093465	0.4290614281259739
2362	0.1758	329.0963889253232	0.4145145999241546
2363	0.1416	266.0553906281826	0.39363229755178797
2364	0.2778	483.57616585636646	0.4348272138228941
2367	0.3258	565.9295801581015	0.4020564763658695
