index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.06	17.771459036774296	0.561111111111111
3	0.072	22.799240025336694	0.46111111111111114
4	0.216	38.88108867050054	0.3921516754850083
5	0.044	7.582023711057855	0.3668831168831167
6	0.156	23.412174330655375	0.34805148555148524
7	0.35	33.77726307663448	0.329966810966811
8	0.116	14.190991167329015	0.27643678160919544
9	0.24	20.717158986933672	0.2886742424242423
10	0.026	2.274397284719577	0.2905684059530213
11	0.38	24.550975578241562	0.2615651891967681
12	0.242	18.55230677235833	0.2674658674658671
13	0.188	11.938327110160984	0.23036347517730502
14	0.562	25.99108348594884	0.22847587183715362
15	0.22	13.81354229455786	0.22063502673796778
16	0.096	6.689708997658917	0.23244494252379314
24	0.082	3.602147231179138	0.17691195886317845
32	0.066	2.387170046079722	0.18719278344946785
47	0.056	1.3598570207475889	0.16229671959969397
51	0.062	1.3593510195132508	0.13986458387840364
53	0.068	1.4059230711976036	0.14479104773222415
54	0.118	2.213975060884303	0.13070445760008648
55	0.13	2.6241738898736306	0.13441008779484281
56	0.132	2.4864657150284075	0.13874485063232797
57	0.108	2.1404958022498457	0.1243855547694485
58	0.04	0.8042334850653458	0.13947106954997077
59	0.044	0.8533581582979769	0.12461452342357955
63	0.03	0.5575669266167321	0.15240384615384614
64	0.464	4.36341203775114	0.12358274760226456
65	0.078	1.3397780090898765	0.13184240176203438
66	0.134	1.7065933086259275	0.12307760707312555
67	0.21	2.0643162296541484	0.13414536482990336
68	0.198	1.58338184772665	0.1677262082328879
69	0.186	1.3579972898462558	0.1500186172355935
70	0.1	1.2994235757018078	0.12435408646705191
71	0.12	1.317456518445508	0.1298630698447407
72	0.178	2.2415708122294427	0.1277832388337237
74	0.178	1.796771061084124	0.11834257675771576
76	0	0	
78	0.196	2.182506541951996	0.13182463201299857
86	0.208	2.1648490954470083	0.12147975135873625
87	0	0	
88	0.01	0.14012706722456142	0.12942091616248919
89	0.008	0.1026807373503781	0.13516483516483516
90	0.188	1.7196778714046579	0.11494054864712276
91	0.114	1.1062075711174846	0.1237814243987394
92	0.112	1.2376839397247719	0.12023514647306617
93	0.168	1.2080838064994894	0.13473357166079236
94	0.08	0.8380666640127885	0.1107044956140351
95	0.11	0.7010861736883742	0.13682946269303212
97	0.11	0.9555562118971868	0.1206810951355067
98	0.088	0.7187017632694451	0.12339595323168683
99	0.232	1.5021275824292548	0.10959660874809583
100	0.13	1.0778274315372223	0.12325352806773895
101	0.176	1.4128942657364796	0.11339137231882034
102	0.284	1.6977502418098382	0.12308344752873442
103	0.074	0.6421437187063511	0.1261756261756262
104	0.108	0.7562410896593804	0.11837875611460517
105	0.414	2.165201756009991	0.10732802477244277
106	0.216	1.2487859025946997	0.10966927262250431
107	0.07	0.6238314300533424	0.10861723393833485
108	0.146	0.7768858371583516	0.13630311930814987
109	0.116	1.0753465675123184	0.10862995000530591
111	0.108	0.4991380625124207	0.17900017891539216
112	0.274	1.3174939150052905	0.14632194354887873
113	0.142	1.2024665807439412	0.10209014753829436
114	0.09	0.8368994548994682	0.18969913903447133
115	0.086	0.7406935303003904	0.1428826404424311
116	0.008	0.06262103471866737	0.16990801100970593
117	0.05	0.4702704431264268	0.11622241147474544
118	0.078	0.648040756778676	0.12335730031699502
119	0.198	1.1048453607096782	0.10679564789421568
120	0.188	1.0795650960525691	0.11160898778639884
121	0.336	1.828117756899502	0.10951124108654217
122	0.132	0.9810041915633606	0.1147853012590989
123	0.04	0.27013629726878546	0.10511290322580644
124	0.06	0.39926747726837114	0.13709544640253304
125	0.012	0.11210448137664145	0.11640211640211641
250	0.006	0.025647580022586866	0.09030544488711818
500	0	0	
