index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)
0	0	0		
11	0	0		
23	0	0		
34	0	0		
46	0	0		
57	0	0		
69	0	0		
81	0	0		
93	0	0		
104	0	0		
116	0	0		
128	0	0		
140	0	0		
151	0	0		
163	0	0		
175	0	0		
187	0	0		
198	0	0		
210	0	0		
222	0	0		
234	0	0		
245	0	0		
257	0	0		
269	0	0		
281	0	0		
292	0	0		
304	0	0		
316	0	0		
328	0	0		
339	0	0		
351	0	0		
363	0	0		
375	0	0		
386	0	0		
398	0	0		
409	0	0		
421	0	0		
432	0	0		
444	0	0		
456	0	0		
468	0	0		
479	0	0		
491	0	0		
503	0	0		
515	0	0		
526	0.265	828.1250000572413	0.41283018867924515	42.56409501688542
538	0.33	1030.284108673456	0.3472727272727275	53.371964069161315
550	0.573	1479.8553719107929	0.36640488656195497	68.79624235268872
562	0.012	40.844111642669276	0.3458333333333334	9.443031223186289
573	0	0		
585	0	0		
597	0	0		
609	0	0		
620	0	0		
632	0	0		
644	0	0		
656	0	0		
667	0	0		
679	0	0		
691	0	0		
703	0	0		
714	0	0		
726	0.085	293.2045532908013	0.3788235294117647	26.008924730930175
738	0.64	1374.8657357941229	0.3699218750000003	73.56944384355273
750	0.845	1774.8372190721445	0.44207100591715975	89.44095893467977
761	0	0		
773	0	0		
784	0	0		
796	0	0		
807	0	0		
819	0	0		
831	0	0		
843	0	0		
854	0	0		
866	0.21	566.9546436511043	0.4083333333333333	44.469799770199316
878	0.056	165.38688718827072	0.375	22.776502252937096
890	0.693	1558.7044533813812	0.37597402597402607	77.37154383335513
901	0	0		
913	0	0		
925	0	0		
937	0	0		
948	0	0		
960	0	0		
972	0	0		
984	0	0		
995	0	0		
1007	0	0		
1019	0	0		
1031	0	0		
1042	0.27	751.461174543869	0.48759259259259263	64.30043394496026
1054	0.385	1028.8615713766724	0.3681818181818184	58.895149578661055
1066	0.181	440.8183146896172	0.44171270718232064	45.6946514631709
1078	0.457	956.8676717242589	0.42943107221006604	68.86109570360755
1089	0	0		
1101	0	0		
1113	0	0		
1125	0	0		
1136	0	0		
1148	0	0		
1159	0	0		
1171	0	0		
1182	0.167	397.335236737602	0.4230538922155689	40.79280299367958
1194	0.866	1783.728115416005	0.378175519630485	87.81195188115026
1206	0.517	1116.6306695733895	0.4014506769825922	70.20406975497352
1218	0.651	1355.9675068086156	0.40829493087557633	81.07501813027955
1229	0	0		
1241	0	0		
1253	0	0		
1265	0	0		
1276	0	0		
1288	0	0		
1300	0	0		
1312	0	0		
1323	0	0		
1335	0	0		
1347	0	0		
1359	0	0		
1370	0.368	751.7875383104712	0.3887228260869568	61.58754960236886
1382	0.144	351.476690245427	0.35034722222222214	34.46975064443113
1394	0.585	1247.334754765861	0.43641025641025677	80.37636977855132
1406	0.165	394.83129935356044	0.3809090909090908	39.06330127031311
1417	0	0		
1429	0	0		
1441	0	0		
1453	0	0		
1464	0	0		
1476	0	0		
1488	0	0		
1500	0	0		
1511	0	0		
1523	0	0		
1534	0.469	907.6833753042318	0.37505330490405137	63.139598837511336
1546	0	0		
1557	0	0		
1569	0	0		
1581	0	0		
1593	0	0		
1604	0	0		
1616	0	0		
1628	0	0		
1640	0	0		
1651	0	0		
1663	0	0		
1675	0	0		
1687	0	0		
1698	0.201	487.2727273002308	0.4721393034825871	59.974084949467546
