index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)
0	0.98375	449.5344719254789	0.29491317238458276	196.63077417195132	0	29.283134232052102	0
1	0.946	392.25036021935836	0.29504933051444643	192.42580409210274	1	28.437410671027145	133
2	0.936	355.85632680993905	0.2917779558404558	195.45053247224698	2	31.885034057964976	144
3	0.956	406.5446890847288	0.2946870641562062	192.7722702880136	3	28.686376118892746	132
4	0.9445	396.8987687523715	0.2934136227280746	192.81712127050062	4	28.89991145971191	252
5	0.9605	398.01098104216305	0.29325871941697007	195.5615700169283	5	29.150141883703135	251
6	0.951	399.3407308649155	0.2933885383806517	195.67117410538484	6	28.979164133696973	253
7	0.956	409.24657534241476	0.293410041841004	195.669517263453	7	29.02707507613646	130
8	0.9355	380.03737406563397	0.3007215392838053	185.39258251790628	8	29.875212971700737	139
9	0.93675	372.96199709355795	0.2991993594875898	186.91601612840475	9	30.50803069538964	138
10	0.9375	393.77106675204044	0.2976533333333331	188.83361226286937	10	28.26980202132937	254
11	0.93675	378.0380762129444	0.29935948759007175	186.02197254419096	11	30.621473532993065	136
12	0.976	437.8203187207162	0.29044142759562824	200.68140397102528	12	28.90894635309939	172
13	0.95025	403.99638624649924	0.29012979040603315	198.89965962529476	13	28.882101595386086	170
14	0.967	418.10340168408555	0.29355825577387096	196.33845929632167	14	27.727023564745988	171
15	0.931	366.5498641678521	0.29381936985320417	191.19184460361427	15	31.000577755773357	120
16	0.934	375.790860718014	0.2969486081370449	187.761373115068	16	30.11040533965695	141
17	0.948	399.95781035756704	0.29749472573839647	190.571174366703	17	29.865712097425504	134
18	0.94325	385.5507868383313	0.30157257708278107	185.96185731306937	18	29.894227315520364	145
19	0.958	404.9455775124268	0.2919276270006957	196.3613959274698	19	29.89790190269985	131
20	0.97475	432.03652198965284	0.29089937590835246	198.79121759827024	20	29.59039251851436	168
21	0.8925	327.83272266454463	0.2877964519140986	194.7081183164032	21	32.98993671947944	166
22	0.95425	421.69340227139554	0.29067767007248246	198.88205885959658	22	28.125185181015837	167
23	0.9645	416.07799575075114	0.29218939001209604	198.18923608401334	23	29.43695987841821	126
24	0.92475	368.8598153208399	0.29980625394250676	185.59976487522445	24	30.954185675182487	239
25	0.964	408.34480567611195	0.2917704011065004	198.73580939194503	25	28.772207983499726	146
26	0.95	398.6236992279658	0.29112719298245576	196.53478463002583	26	28.246801106770857	149
27	0.95475	405.250535877305	0.29378109452736295	194.85770593721355	27	28.690633935292986	127
28	0.93375	367.4155977020506	0.2990361445783129	187.50336123365526	28	30.495757247740965	243
29	0.95425	415.2523933855106	0.2971661863592696	191.69793067591044	29	28.60510058824012	128
30	0.95675	402.4819897986012	0.2911593066806027	197.93676339361258	30	29.532913921933883	129
31	0.8665	311.55896338777154	0.29200326985958797	187.08820186266382	31	32.99841689432463	119
32	0.94975	398.9791846079308	0.2986136702641043	188.2543597100912	32	29.726743194481013	125
33	0.94475	386.7329812927314	0.3045161859398429	182.27241970084498	33	29.815716738472485	124
34	0.94975	394.0053930719863	0.28998859348951456	197.62260950711362	34	29.746706641844188	190
35	0.94825	384.12849518449417	0.3016961068635202	187.37090603595783	35	30.12605828170314	123
36	0.9715	420.64471433830374	0.29607136730142364	193.655502913626	36	29.320462393715662	153
37	0.95825	403.9030969768393	0.2946647534568223	194.6255381349913	37	29.341256033133305	151
38	0.942	401.2822287777233	0.29362615003538545	190.85496232741386	38	29.194111493995493	152
39	0.94125	383.5926276859271	0.30118193891102246	186.2057879422767	39	29.7275953996514	122
40	0.98325	441.75624220780037	0.30539876260700044	187.25175327665582	40	29.20990616259852	180
41	0.9655	431.43607216672086	0.3100638701881582	183.90376074807537	41	30.062904481971778	179
42	0.883	337.2030856182348	0.291039071347678	190.6744813947473	42	31.383076603199335	192
43	0.96375	419.003521585948	0.31072632944228273	182.78115248170036	43	28.848258602869638	177
44	0.9855	435.10414022229156	0.31249788601386785	182.11394006131349	44	29.039646009719036	182
45	0.95375	407.9603054087589	0.3176015727391873	177.50484822734512	45	27.455615477555693	178
46	0.9885	437.50069154759666	0.30919743719440246	185.882954636704	46	29.508017000189696	181
47	0.937	370.82108970744605	0.2961001422981141	190.6999045602437	47	30.74162904243374	121
48	0.98275	427.96642461319516	0.3100780123802257	184.3439015161317	48	29.58542484816205	185
49	0.96875	429.36288088644875	0.31215913978494636	179.98131210345403	49	29.37691764112902	184
50	0.94125	389.38876822836806	0.2969765382912793	190.20072279226562	50	29.084930745766943	193
51	0.97025	423.0249389605903	0.31209310315210853	181.7422921135793	51	28.694291366056866	183
52	0.90725	351.0384120565867	0.29104436483879825	193.73824842467994	52	31.407749369230512	188
53	0.978	437.66711790833625	0.30576005453306065	189.238161512263	53	29.33570768828286	186
54	0.967	436.73644513700134	0.30817390554981006	185.54960653684708	54	30.246215424772696	187
55	0.94125	386.11028499350266	0.29926516157591837	188.47729226722254	55	30.491570385126156	135
56	0.96225	409.71216895175047	0.29470858231575287	193.545847719647	56	29.24779528773708	148
57	0.958	401.1095410059141	0.2915927279053582	197.36452202354164	57	28.889959755023494	147
58	0.944	393.0835614869299	0.2928142655367229	195.01866113230636	58	29.61028837214757	154
59	0.951	388.67091711620753	0.3004775674728355	187.8727552068784	59	30.615392890980992	137
60	0.95175	403.86145441045863	0.29616933718588534	191.1322064808842	60	29.66416372184462	150
61	0.94375	387.86371855992854	0.30030463576158933	185.7259024869552	61	30.5551534043874	142
62	0.9355	374.8522429026733	0.30130500623552436	185.75714006737576	62	30.821558613236007	143
63	0.962	417.7114881514171	0.294789501039501	193.0534708069909	63	29.14847637977521	112
64	0.955	398.4396186661505	0.297264397905759	189.27591916503496	64	29.037833976583926	230
65	0.94575	391.64734139472495	0.301850383293682	184.71203863600738	65	30.466345762940893	227
66	0.93925	398.9550923320106	0.29410877473161184	192.29185992602595	66	29.72037649512575	229
67	0.92675	360.2421698103779	0.29701465695530965	187.07743011310774	67	30.116997666998234	226
68	0.95425	399.39729410166717	0.2976508601868829	191.51295783812154	68	29.33615140394399	237
69	0.933	382.5573528507325	0.2968024294390851	190.0796649078112	69	29.334644679880082	228
70	0.95825	412.1815620530248	0.2966388381598398	193.68633522888635	70	28.59230989515393	231
71	0.94925	403.7214247741063	0.2912869809498723	197.78298042427994	71	29.099290746943854	216
72	0.916	367.2336203181633	0.2987763828238716	185.55879472495894	72	30.581053408160493	225
73	0.9335	372.05316753352173	0.29500981967505785	190.50211287773632	73	31.40103099613908	221
74	0.93975	398.68061005877314	0.29463953179036945	192.73045011978746	74	28.689614612430166	232
75	0.9215	365.2615098003769	0.2964279254838123	187.63133451919927	75	31.20987186525027	220
76	0.9425	390.9206856147824	0.2946949602122012	191.41871102244625	76	28.874953529094817	234
