index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
1	0	0			162		0	0	0			162		
2	0.88	343.21372853181344	0.3636363636363638	24.59933480253662	162	129.25103574810606	9	0.88	237.32470334140868	0.3787878787878789	21.465682340454876	162	121.97703598484848	
3	1	341.5300546499144	0.2796666666666667	25.105749385783042	162	120.40348828124999	10	1	337.38191630527365	0.28	25.550928401851284	162	118.52326171875	
4	1	246.54832347247603	0.2249999999999999	23.987237731020326	162	127.23850781249999	8	0.94	165.66795911176493	0.2393617021276595	20.457502000789148	162	122.25692874556736	
8	1	154.27337241687414	0.1623333333333332	20.18678983948913	162	128.83187673611113	7	1	118.1753722524291	0.1738888888888888	20.068522672585402	162	127.36643229166664	
16	1	75.5743651745639	0.12156862745098033	28.60284006587076	162	125.47319732004644	6	1	66.33059166964189	0.1269281045751633	29.590154873983646	162	132.64237004697713	
24	1	51.59426271787544	0.09367948717948722	31.561770145584607	162	141.3836012019231	37	1	44.017959327079865	0.10042397891963115	30.68207976634196	162	137.843928125	
32	1	41.92872117435212	0.08307486631016038	32.047306580436185	162	124.88536005737524	5	1	40.067313085916425	0.08244540998217463	31.224101372222076	162	132.7390381294563	
47	1	27.947012464453394	0.06833776989056492	35.8883239519613	162	131.42351044323982	25	1	28.906746834774257	0.07043620639745261	35.30975598616304	162	130.7370274965455	
55	1	25.159764504687658	0.0672214627477786	41.96963035338536	162	132.60383167391134	38	1	23.437866216645055	0.05833028362273642	39.608722053232896	162	119.42796595982144	
63	1	21.147908471842346	0.059781746031746026	42.55326857571559	162	128.03256591796875	4	1	21.682567215987927	0.06160714285714285	28.31462335909257	162	127.534560546875	
78	1	15.203575881093183	0.05597944645712615	34.90318227359651	162	124.99729186857195	26	1	18.407392408791054	0.05521624472573837	39.3789703278796	162	134.2129545465783	
86	1	12.648621300297267	0.04912748171368861	43.173680235384566	162	126.59703894412878	39	1	11.696453635220076	0.04802776860543737	47.03132542695368	162	117.87397000718391	
94	1	13.521919030733264	0.050990761478163484	32.88315624127892	162	126.73974974300987	18	1	12.913223140485774	0.05184894793644613	39.18228191418172	162	128.99774259011784	
109	1	11.55454902593958	0.04639878577493255	39.24054088175906	162	129.73343343058966	27	1	10.497805958551275	0.04460510246397239	38.86173299481567	162	125.83228260007165	
125	1	11.137593834225338	0.04033166854143235	40.756103192457324	162	129.62128148043993	3	1	9.198616528054517	0.047158395200599904	38.139388368903376	162	130.70855111372802	
140	1	9.408930957258905	0.039459340665658316	37.23817979092155	162	129.45184259424002	28	1	7.869678130167649	0.039996585257339644	41.69088097865873	162	126.86368018617019	
156	1	8.51643672287633	0.03766248360228225	34.57704229249956	162	129.92048964968154	19	1	7.293307660895346	0.03826611710199126	41.73412224236187	162	127.2389606471217	
171	1	7.843998556709366	0.03770132060566803	45.821865501388785	162	131.7849437563628	29	1	6.6846707131197975	0.04029803749667279	36.62708847025709	162	128.51061495738256	
187	1	7.136230642971179	0.03677700288982448	36.92452723656907	162	131.46701365142687	12	1	6.054881445416399	0.03687441005673851	44.73804814149527	162	128.81052544845141	
202	1	6.097040496542061	0.03481238788460007	44.187547254936064	162	128.95709520904262	30	1	6.25250100040522	0.0365119943976749	35.305665948414344	162	129.55194243780483	
218	1	6.275336671817339	0.03319196067536567	40.445269158645274	162	129.23373073630145	15	1	5.984941886209747	0.033653894676204096	40.46972238851541	162	129.8923701484018	
234	1	6.006871861410679	0.03416824726020234	47.53707519847645	162	132.15838896276594	22	1	5.658284860686854	0.033210544586341866	50.278494347637206	162	133.24371722525123	
250	1	5.758577401035636	0.032764366241288416	39.888315728160315	162	129.14509601475055	2	1	4.645588084995016	0.031254789696703006	39.1258013801506	162	130.00222947989786	
265	1	4.742393201305076	0.032207282695999	44.284706165209165	162	127.22900136687399	31	1	4.946870609655513	0.03115172185774155	40.66836018819137	162	129.59218221334586	
281	1	4.839661998003583	0.03205877455676992	44.32884104383531	162	131.58723432742366	20	1	4.690739541996479	0.03023246690968353	47.10790354275978	162	127.80848182624115	
296	1	4.661048549484342	0.028575690592639744	48.94891051741896	162	127.46269097222225	32	1	4.27825789338918	0.030190142937307866	38.98448462274425	162	129.5969952637392	
312	1	4.387234901332046	0.028973768279599205	61.04023999377502	162	129.57022638777957	13	1	4.027094290388086	0.028754354387282213	42.217148901224625	162	128.24511262553165	
327	1	3.8561204343519795	0.02990781919981766	43.548377455008456	162	130.3248213605183	33	1	4.12711514651576	0.03262236051622494	46.71637020928199	162	131.40265253314044	
