index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
1	0	0			98		0	0	0			98		
125	0.02	0.019592975526415358	0.8857142857142857		98	8.302666242732558	3	0	0			98		
156	0.04	0.01734463972581504	0.8390243902439025	15.20279579551101	98	9.09113181759845	22	0.18	0.054383589208120676	0.8550585522749073	34.19282101498404	98	9.045464566233584	
187	0.14	0.0352547330738244	0.8486746646285355	41.63484688275428	98	8.481104263926072	4	0.32	0.06433761808466117	0.8255406952569879	51.60969159664888	98	9.081333814239652	
190	0.16	0.040616600613918995	0.8427444609537597	21.921171642577658	98	8.98256759316381	12	0.5	0.09225449694545233	0.8784808956955986	77.67380698259525	98	9.155741811524338	
191	0.32	0.05047181685291928	0.8788300921327802	42.369481007357415	98	9.099482160873283	17	0.46	0.08168425837796371	0.82248332323673	59.20512796055923	98	9.303736732646989	
192	0.36	0.07109296748365715	0.8800856989741845	61.154295673039705	98	9.088413513564946	13	0.44	0.08166037819890669	0.8252558579243413	45.23203324315278	98	9.14039753454472	
194	0.48	0.07562311080077676	0.8643649892621044	71.08271103847318	98	8.862164690203205	11	0.7	0.10279448269704664	0.8410425885771086	66.9843331298756	98	9.148982639465814	
202	0.38	0.0657425569910119	0.8577623775974768	39.6137392446797	98	9.011623273397392	10	0.68	0.0880728393465933	0.8382192580661303	55.259056425150526	98	9.269561777080709	
218	0.36	0.06470872446162317	0.8430089319937355	49.15006372047992	98	8.77722243461051	8	0.88	0.09225637711723166	0.8403819639011268	60.25725962277932	98	9.243868527079027	
226	0.6	0.08642282945462874	0.8443560006253836	60.425768018850846	98	9.059012077710578	24	0.52	0.0654894352946745	0.892596222826127	76.59457113459784	98	9.17466790299094	
234	0.68	0.07926215327761846	0.8669560005356729	85.0160526598777	98	9.097199420842665	23	0.9	0.09847999411746176	0.8345369080873339	69.24328737924463	98	9.192299428203125	
250	0.48	0.06794301392944961	0.7228443907468013	31.306167481325165	98	8.65720465564573	2	0.86	0.08838465329989229	0.854770333056507	82.96450547400299	98	9.265437756247115	
251	0.82	0.09334821136858265	0.8412192546164727	69.4888331561209	98	9.14335167023135	16	0.94	0.10086914867726224	0.877542641915516	112.83841983521282	98	9.146510816094782	
253	0.84	0.09103583170335958	0.8326183892254894	87.65983173165453	98	9.036625215575485	15	0.92	0.0947750514154656	0.8386520174006615	83.967088080259	98	9.16370572687498	
257	0.86	0.08596482319434814	0.8612767545085779	95.99591540280399	98	9.009353688812322	14	0.88	0.09642723929252298	0.8349572230209428	78.79806962740597	98	9.103062501031024	
261	0.88	0.08773565247908134	0.8682719999335323	74.84139764254518	98	9.030018090430316	19	0.7	0.0797087124811089	0.8977066163337085	74.15590138634997	98	9.236485043276577	
263	0.78	0.08091247697365747	0.848662628893179	69.90712303396069	98	9.011819784108443	20	0.54	0.07279707948901842	0.8979839986278073	85.83986004542355	98	9.19456355080178	
265	0.7	0.07489380059076253	0.7917429101869565	51.76253766601892	98	8.788977051702146	9	0.56	0.06462936444406371	0.9217995788323855	112.48314887639376	98	9.174056681356841	
281	0.8	0.07944662249566856	0.8262473531366098	61.63302679433709	98	8.776920548096337	7	0.7	0.07274500361334921	0.891208042142321	75.29151514646023	98	9.120952588180439	
312	0.84	0.07453904257439388	0.8117081421515576	53.49115755749682	98	8.778065017470274	6	0.5	0.052708400053383564	0.9051906949913068	53.48180446905616	98	9.11834705986598	
343	0.92	0.07696061774614824	0.8662343483909466	102.8703922462231	98	9.05778047113168	18	0.5	0.058891816204766474	0.9171911500287026	82.01119800584516	98	9.113633265389229	
375	1	0.0704761467138592	0.7811818603594014	73.47445657918158	98	8.60585555886282	5	0.56	0.06330219995491936	0.9202901809767903	63.52126941274946	98	9.118700251216932	
437	0.96	0.0788204778228737	0.8279303623518923	84.09436222502877	98	9.06552847811964	21	0.72	0.05475406754279209	0.9000650124261347	79.10190013102492	98	9.106031730735264	
500	0.86	0.0328202009405355	0.7956536961348064	84.61967776887022	98	7.834095193033059	1	0.86	0.050199156397339545	0.8784677891011937	77.91263236716006	98	9.142616464023142	
