index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
1	0	0			18		0	0	0			18		
2	1	4.784688995209981	0.01785718826448908	51.3249458770442	18	133.60501868770768	12	1	5.036869887569125	0.01716706734077816	47.19191682380396	18	130.81967388471926	
4	1	5.050147969336357	0.045170203809230446	51.450202963210586	18	134.6853306161787	11	1	5.161983027401692	0.04093430890463415	40.3227258362993	18	131.16211540226698	
8	1	5.1875830013300765	0.08134689744215891	67.00575419627583	18	130.85701055461877	10	1	5.182958432674871	0.09365792123864869	77.06242629934965	18	134.56465238686874	
16	1	5.266872425831189	0.15062208910707564	95.36300116587783	18	134.49463766066984	8	1	5.147634147346769	0.1446527028917184	77.64768220476401	18	131.256107409225	
32	1	5.437737901029039	0.22433776189353286	144.09924216387373	18	135.22827134548734	6	1	5.186829602271501	0.2267448346692288	128.02814924410862	18	133.11788692172934	
48	1	5.271814769507509	0.30018444065116184	141.75891418679367	18	133.352084737354	24	1	5.236589095316295	0.294492234909891	124.96670926657893	18	132.24211820159866	
64	1	5.376228468206223	0.3514331333172516	138.09399209392998	18	136.7038243474034	4	1	5.1460977140929876	0.3623042694152715	186.79108066911988	18	133.65378091276062	
96	1	5.1914610848058516	0.5100827605200994	275.44385900192157	18	129.64679063712538	22	1	5.2684818342692585	0.5133432673053947	235.36068683881632	18	130.6636573993772	
128	1	5.289270186508473	0.6436354899315074	285.1322569437272	18	135.75673694924447	2	1	5.119750975308362	0.6434231248896285	295.8830679728282	18	133.7646780027655	
160	1	5.027753197652306	0.7376644172792106	429.0859735443188	18	132.6540819301694	23	1	5.227828778139538	0.7394974596457847	345.60903786677557	18	130.99062588458503	
192	1	5.155276941470464	0.8370982486339876	767.0998486608788	18	137.5258703113028	3	1	4.953339541522685	0.8361575310052625	626.6817568981946	18	134.77281729147623	
224	1	4.70282828091192	0.926357578534686	1150.3666299807328	18	135.11614393162995	5	1	4.530832313896827	0.9251761270003697	1746.4399349764522	18	133.48018910586697	
240	1	4.014065284771687	0.970276345080538	1531.2187679226029	18	132.51217847901017	7	1	4.035805667894855	0.969468797219805	1478.988901850057	18	133.42973571100956	
244	1	3.7151518754077926	0.980104883115945	2318.187303680865	18	131.81298930068215	19	1	3.6865272176252835	0.9793472883231203	1872.0270214751667	18	133.7231987857648	
246	1	3.37689528247591	0.9831279246867483	2558.511415422651	18	131.13117245162232	20	1	3.4850734304961852	0.9840726475689889	2381.235478172469	18	132.18098660021235	
247	0.98	3.251083141479334	0.9862170288248961	2750.228635904929	18	132.5274127910131	21	1	3.4270517759081183	0.9860824199896067	2543.914674782707	18	133.70577696538422	
248	0.96	3.1914681418252506	0.9888652922712379	2757.6657449365375	18	133.75335815383306	9	1	3.269213165774425	0.988518157139017	2977.083518083725	18	131.0707474018993	
249	0.92	2.8822958112727877	0.9901670983632023	3192.26706840661	18	132.21518959265572	16	0.96	3.07262927448241	0.9907862798627999	4681.2937154224755	18	134.63324569381024	
250	0.86	2.6819349849054315	0.9927166428995469	3886.4314859258675	18	133.28012432086788	14	0.8	2.5931592459096513	0.992167603159537	3595.2848303607734	18	133.41918051019417	
251	0.44	1.6450566049044568	0.994603516840368	4239.198441177478	18	130.4809639287461	15	0.62	2.1070661482804263	0.9945182984501738	3476.874049282538	18	133.13010377603584	
252	0.08	0.39822392131004486	0.9956776865665091	1909.0638408411742	18	134.08175714155894	13	0.12	0.5663903940182502	0.997132982434544	2551.0931452401696	18	130.3589508535123	
253	0	0			18		18	0	0			18		
254	0	0			18		17	0	0			18		
256	0	0			18		1	0	0			18		
