index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
1	0	0			86		0	0	0			86		
16	0	0			86		9	0.03	0.3348812287918338	0.8933333333333334	109.41054184441244	86	9.850265089214513	
24	0.05	0.205427391688392	0.8776741184063839	28.020248142243368	86	8.186053631582713	10	0.06	0.29188416090619224	0.8542853573213393	27.372336705929172	86	10.21460740471794	
26	0.01	0.04725786252688207	0.8076923076923077		86	8.650043808411215	23	0.07	0.23555144275259424	0.8732104116381941	27.34207011544097	86	11.429098464556404	
27	0.08	0.2496458149999441	0.8219160590871115	22.711849600114693	86	9.727516189414857	24	0	0			86		
28	0.16	0.4785132593033358	0.8635293632884021	58.694536802184224	86	9.473201746020134	11	0.06	0.20510436393727546	0.8541143822393823	34.150936431338884	86	10.398295336609587	
32	0.24	0.5469212889113797	0.8053654034509563	41.54988719314966	86	9.084598691527566	5	0.26	0.564581623302623	0.8563991502588272	69.88371424789547	86	9.696067287154182	
33	0.12	0.3096510490720929	0.881959069102399	53.861041974046884	86	9.646780061518347	16	0.19	0.5294617603209592	0.8673266942327043	63.18818287710308	86	9.896082828874619	
34	0.23	0.5367060251086071	0.8587118680079697	57.10476158354857	86	9.347614943733403	17	0	0			86		
35	0.39	0.6646058205836796	0.8502199151728663	68.94363284636636	86	9.387271193448719	8	0.04	0.2095656228551798	0.7912716574043805	13.17113267800803	86	9.308674596863552	
36	0.17	0.31353801832908307	0.8579613855874583	55.18326610639945	86	9.458469517307153	22	0.11	0.31292671825214546	0.9241160125750919	91.11917815481323	86	9.562020907795457	
37	0.11	0.2300913462644419	0.8901213695224051	64.71059755444966	86	9.872262512585122	20	0.25	0.4002728259582722	0.8857416678346955	77.60584902971104	86	9.776158565693668	
38	0.33	0.4688951976605977	0.8628581306530985	61.49514635958282	86	9.36451329765896	21	0.24	0.3903638679203581	0.872840983767281	72.74077219635906	86	9.698384832476568	
39	0.52	0.6641420753162934	0.868210357328362	86.5857465329729	86	9.52195702214784	7	0.32	0.48675494170367983	0.8746997242014701	87.48929198385522	86	9.303597694530621	
43	0.52	0.6073872303843615	0.8714679570551677	95.10999151994476	86	9.125209967657195	14	0.36	0.4263291403072848	0.8871036348226806	78.58012471528575	86	10.000247906802432	
44	0.2	0.38716621432749804	0.8655024564811296	62.18863532426674	86	9.692465446576058	19	0.39	0.4349581436432097	0.8839047908254497	69.48705611732463	86	9.519502340398857	
45	0.66	0.730672063307206	0.8598007864513892	96.01250921211492	86	8.908335242465121	15	0.44	0.5323641080118127	0.8816541622460924	75.10803376042756	86	9.842246329635474	
47	0.67	0.774845059900346	0.8625711211788321	101.29502076621877	86	8.976292460690484	6	0.33	0.34624403909404894	0.8773209608380506	75.34496128642382	86	9.676189638024026	
51	0.68	0.6573319091142058	0.8523254003071196	105.96357673907029	86	9.013716530767995	13	0.61	0.5017082755546244	0.8693405339881991	94.38680716917283	86	9.857431879023657	
53	0.76	0.735613671186446	0.8693821156045686	118.99038881441514	86	9.764886667800484	18	0.46	0.36953104100912665	0.8716790729879563	82.2790737142969	86	9.46003051781098	
55	0.83	0.7208872297867513	0.8582270227103569	108.52506782483813	86	9.331083610113843	12	0.64	0.49522418179684924	0.8573659577325279	98.49457997364742	86	9.335408009320446	
63	0.85	0.7450199796828005	0.8455788048594993	96.36081819155542	86	9.178644365947296	4	0.73	0.45893938479491314	0.8665767934277375	137.1409482017333	86	9.487752815106374	
125	0.91	0.40969325230713494	0.8428872727922243	110.86858626818216	86	9.35277253230315	3	0.91	0.36124887308214837	0.8631683491465731	146.01573995544527	86	9.521684046758239	
250	0.99	0.2717547948251306	0.8325764066690309	109.13134447257659	86	9.168288087600589	2	0.99	0.3236377140585336	0.8180812201616816	115.11730699194489	86	9.574210104093071	
500	0.98	0.16122029947822292	0.8548038455491563	103.46200396590817	86	9.242645219701771	1	1	0.1728485668520345	0.8166776211401343	103.98588556269588	86	9.571974043611355	
