index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
0	0	0			7		0	0	0			7		
1500	0.005	0.010147308477163497	0.9583333333333334		7	8.393939393939394	6	0	0			7		
1875	0.04	0.055134732055531974	0.9613432224050655	115.35329957102483	7	8.45209575661314	18	0.045	0.41116918241318945	0.9482535374070665	135.35009825932235	7	10.505751075956056	
2250	0.155	0.16213694400104942	0.9273710621890957	87.04915241372109	7	8.423623125368827	7	0.025	0.3151273744851811	0.9145451748627087	36.30562180247692	7	9.86352269535263	
2625	0.12	0.11393766185675763	0.9513725113054118	133.31957202512407	7	9.245975574546422	20	0	0			7		
2812	0.135	0.20159589281968285	0.9355580548468543	176.48865698167802	7	7.912155240689681	21	0.005	0.06976711736236994	0.940677966101695		7	8.746462744299674	
2906	0.09	0.2949282177487945	0.9219377937173147	85.02883978025314	7	7.305531086698952	22	0.185	0.846027557633025	0.9188765086180528	125.02313073988381	7	10.97300699736518	
2953	0.17	0.5659092913986101	0.9285470139949803	116.57453295718655	7	7.015809771585801	23	0.23	1.106657749250858	0.9108362748522773	151.24397497965893	7	9.494531382144924	
3000	0.29	0.22107053789129888	0.9236475218902932	169.99461993734306	7	8.404403128568722	2	0.105	0.79072219293652	0.9071964750946506	100.02467497673261	7	10.577393909364133	
3046	0.285	0.20434333552136405	0.9288100880581712	121.53228333721786	7	9.375174802774527	15	0.13	0.4252702101489968	0.9141844424761204	106.37205111550438	7	9.978829407561474	
3069	0.2	0.16303918076073332	0.9318791201453346	164.08071118490437	7	9.050960587966888	16	0.185	0.34779241116960713	0.927878649028988	128.56862766703745	7	10.169952820228378	
3081	0.145	0.14253934331633764	0.9344565037464158	112.13462925661958	7	9.383786596693913	17	0.21	0.4268926080495748	0.9176578134301074	144.65310209472014	7	9.046771015762308	
3093	0.46	0.3685909249709179	0.9279233291440813	190.93496785089732	7	9.175071692058191	10	0.24	0.509340022665628	0.9245211314210057	152.96841807753069	7	9.52111003612171	
3187	0.56	0.3597367241089152	0.9059012405948007	170.86247977934516	7	9.053021413056374	9	0.26	0.4519577593325224	0.9174068522769594	129.24429883897113	7	9.876028994968156	
3375	0.555	0.3945442001469625	0.8958585261249671	164.2331910459104	7	8.766968519333906	8	0.045	0.07939973798086401	0.9245349176399364	74.62678519599058	7	12.575831691191832	
3750	0.56	0.394032518237177	0.885296038425366	142.53402138802073	7	9.095821737932015	5	0.4	0.6268236651006175	0.9162674069020792	144.2893969778474	7	10.742774399320485	
4500	0.595	0.30905566871726364	0.884532185230402	139.2018921823424	7	9.4025264337977	3	0.305	0.5150013128311677	0.893302363483822	143.25657977625102	7	9.963280012475789	
4523	0.665	0.3500884433962178	0.9113234320450752	200.47677947182652	7	9.779335033520058	19	0.265	0.41887034619236546	0.89818587719142	142.2353775306749	7	8.158486123052414	
4546	0.74	0.3699188028227995	0.8959314908664038	185.53391880467493	7	9.598871272683482	14	0.175	0.2769031155555912	0.8992617496988901	116.23323760792121	7	8.925096705121149	
4593	0.825	0.3695930220837631	0.8788947888618054	160.69064064620767	7	9.143044756106287	13	0.455	0.6063331834158331	0.8970068046008877	176.75698760828504	7	9.353167593802027	
4687	0.825	0.4966646709777298	0.8666439495959144	170.17704206389195	7	9.32623230530906	12	0.695	0.7085448985531511	0.9021595248962452	206.12364707031801	7	12.290554484591626	
4875	0.855	0.48603474380994294	0.8776375839933223	161.36275609498284	7	9.965097557868267	11	0.46	0.374358097935311	0.8911095527049149	154.58676354335108	7	11.634083063187177	
5250	0.835	0.4350560336540513	0.8180710375434088	127.19779884874882	7	9.832372170455725	4	0.51	0.4042597884373386	0.8864615460692385	150.98482789406543	7	10.954107020276176	
5625	0.41	0.8981262020653786	0.8269554980603786	110.23650056536815	7	6.601452009928528	24	0.375	0.35216326852589724	0.8867441743271061	125.01367365215445	7	12.939104064897842	
6000	0.965	0.5617019394141926	0.8151138417528389	132.46692506479744	7	9.061404566104475	1	0.4	0.7728960802575096	0.8749987489426759	120.92139482752137	7	10.5829711682523	
