index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
0	1	5.081352452758056	0.0771413022720557	57.36037262407627	0	130.93432709680556	0	1	5.20443001081023	0.0762200490965028	58.85615680266737	0	131.02546099296555	
1	1	5.452443785308616	0.08302170586203413	48.10542966717588	1	127.0716850911695	128	1	5.132943229658431	0.08035421261340234	69.52649167807603	1	132.72729921368244	
2	1	5.473873203215464	0.08996962234480378	51.42564140106487	2	131.60478474645478	129	1	5.111429155588497	0.07716447506070315	65.4802032651719	2	131.6258680004742	
3	1	5.605192650472684	0.08355441244417064	54.99333478803766	3	125.65485692954364	64	1	5.012581579779297	0.07719252260097341	67.78083998554033	3	133.2137846557562	
4	1	5.692037977280885	0.09012992803405664	59.23006346155359	4	127.64930264929882	130	1	4.732070186064499	0.07871698459146484	61.28901527173661	4	132.01219699855338	
5	1	5.580730852517144	0.08322592937826709	60.10964701210464	5	127.41488679783203	65	1	5.21300331548332	0.07783473118295965	77.32744476427757	5	133.80731041754473	
6	1	5.405580721545242	0.08410244209609406	58.76230223903529	6	129.18955964778308	131	1	5.011275369562848	0.07866315927361806	59.81213226156525	6	133.01515360638467	
7	1	5.361355350632105	0.08221920599280429	88.43373292949917	7	124.09429770162491	32	1	4.971463797776502	0.07651897936450677	62.77555493874382	7	130.25928004454659	
8	1	5.486245981332556	0.09030422027043519	74.63747277245142	8	130.87006494652857	132	1	5.371088504788806	0.0830360795468779	60.0964880013749	8	132.42517793042663	
9	1	5.492513703846528	0.0858805427787064	59.84687018008847	9	130.66340148508996	66	1	5.350970130858543	0.085908120833425	60.679219090462794	9	133.01744569013883	
10	1	5.5385092548631345	0.08572708737288108	61.03808391237316	10	129.29729026421893	133	1	5.235876223873556	0.07980693200736325	59.491172482127716	10	131.26044037552117	
11	1	5.615075354305617	0.09039369638488567	53.91797988720385	11	129.48046707754284	33	1	5.138165263929797	0.07916682761818214	65.75096596197476	11	130.07312528472775	
12	1	5.482756730100964	0.08566054166482409	87.15324047859946	12	130.35299984824923	134	1	5.003151985755126	0.08187440026262642	59.75631072641221	12	134.234607545455	
13	1	5.603559380915601	0.08131662840626204	56.609958850252475	13	125.76013139623377	67	1	4.964651680035282	0.07668033488790343	55.37747699176431	13	130.44458994496983	
14	1	5.458098180265517	0.08458234352840577	58.771383831382124	14	126.55720482017654	135	1	4.882812500004441	0.08089326967503466	61.383625033808485	14	132.29199900674422	
15	1	5.2006407189306785	0.07963198281281123	53.09075449536085	15	131.88891036554455	16	1	4.919855553043036	0.07749229908192053	71.1191449674363	15	129.2757567963581	
16	1	5.433010974659902	0.08883247125090937	58.28498848460448	16	132.8242646738966	136	1	4.992610935812766	0.08027939782180368	52.67887737510637	16	132.00673241346914	
