index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
0	0	0			48				0	0	0			48				
312	0	0			48				39	0	0			48				
468	0	0			48				70	0	0			48				
625	0	0			48				24	0	0			48				
937	0	0			48				40	0	0			48				
1093	0	0			48				71	0	0			48				
1250	0	0			48				17	0	0			48				
1562	0	0			48				41	0	0			48				
1718	0	0			48				72	0	0			48				
1875	0	0			48				25	0	0			48				
2187	0	0			48				42	0	0			48				
2343	0	0			48				73	0	0			48				
2500	0	0			48				4	0	0			48				
2812	0	0			48				43	0	0			48				
2968	0	0			48				74	0	0			48				
3125	0	0			48				26	0	0			48				
3437	0	0			48				44	0	0			48				
3593	0	0			48				75	0	0			48				
3750	0	0			48				5	0	0			48				
3828	0	0			48				9	0	0			48				
3906	0.97	11.96718277711908	0.29079478940233183	19.188107931892958	48	12.174656239214443	174.28865979381445	12.977035204363913	8	0.9	9.073037955525503	0.4511000462807321	24.520150434913905	48	14.580934017562962	211.7111111111111	9.093164627755613	
3984	0.91	11.810359372420717	0.3530051876871874	19.020561597323486	48	11.853137963051775	146.74725274725276	10.806049712188349	12	0.94	9.61902520388136	0.36575972134485846	25.614311680815543	48	13.619121807985962	181.3404255319149	10.370847363432095	
4062	0.98	16.155088852985713	0.26027389180694455	22.10620033739597	48	11.745064849470408	130.0612244897959	26.85691713219166	7	0.97	11.036774076121645	0.38373356610918763	20.024641415977232	48	14.110554611987173	186.02061855670104	10.253018257301784	
4140	0.96	14.514226966200273	0.4138410620218503	28.519074354894098	48	16.88264162630153	118	27.817833111276794	11	0.98	11.148398839652904	0.37081512010621276	24.81282365867461	48	18.26571694563371	151.0204081632653	20.704284844566814	
4218	1	15.033750770507723	0.22765066869609207	27.916586042626356	48	22.514188891294566	119.96	27.402885371722036	10	1	12.041084179236512	0.27026540240617747	34.68899716646179	48	25.36285826274528	145.11	18.450379497722576	
4375	1	14.950588305652534	0.19350098853445286	25.347243369663392	48	31.452432881812193	102.75	347.5281340885592	6	1	13.849264604048454	0.14813738721264316	27.434896068053988	48	35.93450638596345	107.49	73.3165487198777	
4687	1	14.490653528447734	0.12879396276304933	30.985116930416787	48	32.386263288234815	103.45	211.684068327598	45	1	14.680192016847556	0.13799392718195624	41.08242579882958	48	35.94367636503473	102.77	287.11565608178176	
