index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
0	0	0			81				0	0	0			81				
312	0	0			81				73	0	0			81				
468	0	0			81				94	0	0			81				
625	0	0			81				66	0	0			81				
937	0	0			81				74	0	0			81				
1093	0	0			81				95	0	0			81				
1250	0	0			81				63	0	0			81				
1562	0	0			81				75	0.01	0.04915599162382263	0.8611111111111112		81	45.16045088199513	2058		
1718	0	0			81				96	0	0			81				
1875	0	0			81				67	0.01	0.037148896492025595	0.9259259259259259		81	9.96936223785872	877		
2187	0	0			81				76	0	0			81				
2343	0	0			81				97	0.01	0.023828529898850006	0.9444444444444444		81	11.756018693353475	3669		
2500	0	0			81				18	0	0			81				
2812	0	0			81				58	0	0			81				
2968	0	0			81				59	0.01	0.02859078861972189	0.9464285714285714		81	12.571711935358255	2144		
3125	0.01	0.06088687826889051	0.9148936170212766		81	8.378677962662337	1375		57	0.06	0.11390191905750281	0.8587300031979522	26.1425172584645	81	61.98763124145999	1454.5	9.475141771352797	
3281	0.01	0.054297954596054764	0.9272727272727272		81	8.321402921804932	1039		79	0.04	0.09392581738941598	0.9221396776481522	29.567841402284923	81	35.896503719511834	2733.75	3.627131979290959	
3437	0	0			81				77	0.02	0.03714613661605714	0.9352598566308243	20.35979869968112	81	36.53724522799345	1758	1.0670332371896571	
3593	0.01	0.0434612542918059	0.8507462686567164		81	8.184485266516516	2988		78	0.04	0.07723170670486616	0.8566338525811048	19.96864095415026	81	25.76580668687326	2406.5	3.255045108813338	
3750	0.01	0.024742492509212215	0.9230769230769231		81	8.656780478395062	277		19	0.04	0.07699548229007995	0.8752727100941387	30.099826944465672	81	54.53936232812873	1592.25	3.004305444597124	
3906	0	0			81				82	0	0			81				
4062	0	0			81				80	0	0			81				
4218	0.01	0.01998405272592382	0.8852459016393442		81	8.868827786796537	695		81	0	0			81				
4375	0.01	0.019826596586257406	0.8913043478260869		81	8.841081133540373	2285		23	0	0			81				
4687	0.01	0.017972843034176112	0.8974358974358975		81	9.021302180503731	964		24	0.16	0.11414287263367921	0.8920480561763495	67.90412395984517	81	62.74737088695066	2424.375	10.841188452352801	
4843	0.01	0.019361983906318943	0.7		81	8.758709016393443	1878		25	0.22	0.1051405609822426	0.8696901799387272	62.05539544751163	81	47.49130478970367	2889.8636363636365	11.689235483673766	
5000	0.07	0.05756791986545406	0.7266260700581798	14.422036210048883	81	7.648754173468051	3731.8571428571427	10.064612312075466	3	0.46	0.17680577309284934	0.8701982530870621	89.36747462573571	81	35.926131238016914	2423.7608695652175	18.411898301435645	
5156	0	0			81				30	0.73	0.22735943814188428	0.8634375575132466	100.59715543351028	81	36.53278207634333	2335.109589041096	21.856182608695065	
5312	0.03	0.0330479459599987	0.7580868912390653	9.803492654014356	81	9.029719919322197	1987.6666666666667	6.720743202076347	20	0.74	0.22494835307406968	0.8665766294770382	117.65777687231245	81	28.459421064093874	2232.162162162162	25.921848027555793	
5468	0.03	0.03038679349438992	0.6463237021376557	9.44303395181175	81	8.572502330706534	3024.3333333333335	5.206278625961228	33	0.77	0.2602762646637854	0.8592504659747519	99.67813051209073	81	24.15588883178506	1887.1948051948052	22.924785967764077	
5625	0	0			81				6	0.77	0.25581089395608747	0.8346288606247161	100.7967036226426	81	28.302045312687202	1900.4155844155844	26.544861220050713	
5937	0	0			81				7	0.84	0.2663846372174222	0.8224165083042352	108.8227273240633	81	23.465678139929167	1815.7261904761904	23.990223841114325	
6093	0.01	0.01164072531031285	0.9206349206349206		81	9.240304129464286	519		8	0.9	0.2925176900073039	0.8195101573342536	99.3028505569352	81	21.969310440783506	1676.1666666666667	25.349801424208806	
6250	0.49	0.19861737983141844	0.7182384686925573	50.91141905155905	81	8.083849046001598	3385.3061224489797	18.169890776661617	5	0.85	0.2532602037046312	0.8491303734319211	102.28961306200576	81	21.560662912682726	1842.4	27.07752762134625	
6406	0.06	0.04148373491893427	0.6558929131794237	16.07970843463807	81	8.573502832924868	2880	11.615071433837413	17	0.86	0.3036452970992662	0.8207775118965397	94.58896131764568	81	18.153615612073292	1526.9651162790697	33.33382603481659	
6562	0.03	0.02694887528868917	0.6393866985264834	15.914674317790066	81	8.276741743584664	2794	2.1527401121039142	16	0.96	0.3551292689035154	0.8141992099706874	96.04647828381474	81	17.546656930034942	1391.5729166666667	27.95110450013791	
6718	0.41	0.17618517835741326	0.7343705225800954	47.83134731634792	81	9.326300674360116	2201.609756097561	21.292664517457084	46	0.95	0.36628214752379984	0.7972779733137783	103.23104849009398	81	18.700558700716645	1325.8631578947368	29.409369126334887	
6875	0.01	0.00864549327726445	0.8363636363636363		81	9.304478675314465	648		13	0.9	0.31958127750840654	0.8149450974899933	114.17047380904904	81	16.628541657094402	1420.3555555555556	24.900465744647033	
7031	0.04	0.02194955991132423	0.6213397129186603	6.909342002653351	81	8.772625056384735	2962	18.43314586504209	60	0.97	0.35399909493014425	0.8072179205088256	105.5765843485195	81	16.414572801930216	1322.7938144329896	31.71830214534761	
7187	0.02	0.01623063077100368	0.48237367802585196	82.93352390775763	81	8.515068664712507	2726	4.74771695939539	14	0.9	0.34639952335426377	0.819078742804511	107.90125778117839	81	15.567984623020875	1285.6333333333334	24.965215360501176	
7343	0.06	0.03838435146759308	0.6725883549453343	9.395461038143077	81	8.490496078027705	2665.5	4.426305860581758	15	0.96	0.3637512759712758	0.8157502841772805	105.00934649637306	81	16.77903337824479	1219.6666666666667	28.865830596440663	
7500	0.58	0.20298244201876703	0.6146143044293817	42.73702342929557	81	7.980342692471143	2827.9137931034484	43.274297458738005	4	0.98	0.36914018211418814	0.8052013551238887	95.86405320362879	81	16.57043614582478	1208.2244897959183	34.92463464845359	
7656	0.31	0.10968931739276154	0.602989358712566	28.566032075122457	81	9.121616502772323	2368	13.943387888805628	36	0.98	0.33885247953573233	0.8081438215729391	88.91068506921698	81	16.810546020585786	1301.8265306122448	30.220700224058007	
