index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
0	0	0			247				0	0.01	0.037053505261581125	0.9860627177700348		247	8.926239283738939	624		
312	0	0			247				36	0.01	0.0460381840699394	0.9736842105263158		247	7.083352825598802	693		
468	0	0			247				38	0	0			247				
546	0	0			247				40	0	0			247				
625	0.01	0.03163285641530359	0.95		247	4.416790911259542	616		35	0	0			247				
703	0	0			247				41	0	0			247				
781	0	0			247				39	0	0			247				
937	0	0			247				37	0	0			247				
1093	0	0			247				80	0	0			247				
1250	0	0			247				14	0	0			247				
1562	0	0			247				54	0.01	0.02471247040682499	0.9657142857142857		247	9.906448398702032	1388		
1718	0	0			247				81	0.01	0.02618164300279008	0.9735449735449735		247	10.968655646135266	548		
1875	0	0			247				15	0	0			247				
2031	0	0			247				17	0	0			247				
2109	0	0			247				18	0	0			247				
2187	0.02	0.037267474252852414	0.9669094611528821	63.48790376098498	247	8.029702769020497	1156	4.6977898796071775	16	0.01	0.015521153780481661	0.875		247	5.466960958672087	1256		
2265	0.01	0.01631505014430399	0.9864077669902913		247	8.222406181015453	1569		21	0	0			247				
2343	0	0			247				20	0	0			247				
2421	0	0			247				23	0.01	0.01609067416707221	0.9548387096774194		247	9.570687071917808	1051		
2500	0.01	0.01959431921497938	0.9950980392156863		247	6.960593301741803	1905		4	0	0			247				
2812	0.01	0.016046470578791636	0.948051948051948		247	8.02933933423913	502		19	0.01	0.014399801858721036	0.9285714285714286		247	5.89744825487013	672		
2890	0.04	0.0573408468956491	0.964670973920838	40.48404329626528	247	7.820883777901283	1069.75	3.5631625122965276	24	0.04	0.05394878102729987	0.9609704809017923	63.27457723403251	247	14.847826080471116	2281.25	2.5698540796798435	
2968	0	0			247				22	0.01	0.011776260472040063	0.9690721649484536		247	8.55791903409091	3276		
3125	0	0			247				10	0.01	0.012958386732687267	0.9875		247	9.991610054347825	638		
3437	0	0			247				11	0.02	0.021897770259541427	0.9199300699300699	60.01283681617744	247	12.463708525029631	1896.5	1.7680000138698582	
3593	0	0			247				12	0	0			247				
3671	0.02	0.03338301839236973	0.9772414977670904	423.4825296441824	247	8.204443437599506	786.5	3.261815151925042	13	0	0			247				
3750	0.28	0.44569593031876953	0.9150315584570086	89.47408882739425	247	6.0003731241109035	1691.8214285714287	14.765081851400678	5	0.05	0.054009853557690835	0.9698067142899138	151.91560168869594	247	9.828066226534819	2119.6	2.864452942509056	
3828	0.01	0.010500848468556218	0.9668874172185431		247	6.527839319029851	1643		9	0	0			247				
3906	1	22.862368541324905	0.10152954389685613	88.34547690878803	247	50.31762041806204	101.39	1591.2680687583895	8	1	19.667230460598972	0.10385202344482596	87.88896168318864	247	52.156142479162725	101.74	819.0182771429116	
