index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
0	0	0			21				0	0	0			21				
312	0	0			21				55	0	0			21				
390	0	0			21				84	0	0			21				
468	0.01	0.04662939423745198	0.9827586206896551		21	3.579783048561151	931		82	0	0			21				
546	0	0			21				83	0	0			21				
625	0	0			21				22	0.01	0.030438898477098592	0.941747572815534		21	3.558185634328358	623		
937	0	0			21				30	0	0			21				
1015	0	0			21				33	0	0			21				
1093	0.01	0.03097720697111352	0.9238095238095239		21	3.4878494032663316	567		31	0	0			21				
1250	0.01	0.025472450271423704	0.9465648854961832		21	3.3141020014044944	1574		21	0.02	0.03542004632936206	0.9477119902191948	28.553300711185805	21	3.625881653054816	1629.5	1.2910145657630019	
1406	0.01	0.019820780502696613	0.9672131147540983		21	3.2913790760869563	1636		32	0	0			21				
1484	0.01	0.020977994084208126	0.9595959595959596		21	3.5624197895277208	1045		34	0	0			21				
1562	0	0			21				27	0	0			21				
1640	0	0			21				35	0	0			21				
1718	0.01	0.016987792572249298	0.9691629955947136		21	3.813373230253353	1923		28	0	0			21				
1796	0	0			21				29	0	0			21				
1875	0.03	0.044417530711006695	0.9703633216609165	84.03496974313987	21	3.427114364161659	1145.6666666666667	9.659163669409248	23	0	0			21				
1953	0	0			21				36	0.01	0.02696188129227346	0.991869918699187		21	6.963625087047354	855		
2031	0.02	0.02395163685484086	0.9786663807890223	54.24519164245805	21	3.287434971460226	3386.5	0.8747459778952487	25	0	0			21				
2109	0	0			21				26	0	0			21				
2187	0	0			21				24	0	0			21				
2265	0	0			21				87	0	0			21				
2343	0.02	0.02773459655174701	0.9838333693071444	453.9525942689498	21	3.205626353143058	1120.5	1.7020690619109056	85	0	0			21				
2421	0.02	0.023065949008127487	0.9682767287491139	108.68647171995342	21	3.3939387878903244	1458	3.846871966305919	86	0	0			21				
2500	0	0			21				4	0	0			21				
2812	0	0			21				56	0	0			21				
2968	0	0			21				88	0	0			21				
3125	0	0			21				10	0	0			21				
3281	0	0			21				15	0	0			21				
3359	0.01	0.009230942488462283	0.9882352941176471		21	3.471964003164557	624		16	0	0			21				
3437	0.01	0.01055462440313545	0.9882697947214076		21	3.841809502963362	3126		11	0	0			21				
3515	0.02	0.019992083135074862	0.973697270471464	34.68358761719671	21	3.4764687518700965	2254	1.9922733559930976	13	0	0			21				
3593	0.03	0.024749085521281126	0.9706195646872674	59.967294560000035	21	3.5898889016966593	2832	1.9243382721804179	12	0	0			21				
3671	0	0			21				14	0	0			21				
3750	0.04	0.06430216875143623	0.9662565002307602	67.60452605074586	21	3.194111735223783	2189	3.089366895656486	5	0	0			21				
3828	0	0			21				9	0	0			21				
3906	1	12.386201771318296	0.31976667682738996	24.609852913295814	21	14.430517246980683	171.49	19.2203742721143	8	1	12.033983970666185	0.27853394571168516	22.922730910369307	21	13.303519126100461	172.2	15.988917099484793	
4062	1	15.827793605354401	0.3155438735185666	23.830253459650937	21	13.352452941770904	137.96	20.53355811846927	7	0.97	13.242140039224656	0.31005910214828225	26.561480843030242	21	13.432370854200336	141.53608247422682	15.895150815582713	
4218	1	10.145074566219462	0.2706389493379162	43.545223590729016	21	26.39601782274042	150.96	48.014389351622434	89	1	12.989543417453017	0.24847341656803323	24.61907849426326	21	24.556176945897374	121.85	22.93437731150074	
4375	1	14.363275976086051	0.1407336514846845	43.090468675852826	21	33.59795066364202	104.06	98.85788206921336	6	1	14.014631275224197	0.15315609106788564	34.31204579957013	21	33.2613767701643	102.28	482.6370162500246	
4687	1	11.98537783909524	0.11143425716876744	40.75163551364893	21	35.29243726758478	111.43	134.38642057346297	57	1	13.087292239329814	0.14911552335207157	26.959203860783926	21	32.892793854331885	104.11	165.51429095415992	
4843	1	10.578540373082085	0.10688456231175264	67.59079429774603	21	38.09010001401251	114.72	114.83041963877878	90	1	13.341338136077475	0.12885936927487845	34.29407311914171	21	33.050596023132	104.58	174.00435557793176	
5000	1	14.73709030900956	0.14575557724313476	29.23314577727669	21	31.71138874637696	102.06	585.6593897958536	3	1	13.578838737566217	0.1561011870053147	27.113758519279216	21	33.4645745045469	106.46	138.0718392095532	
