index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
0	0.02	0.26657070121432636	0.9147869674185464	8.79865824317354	102	2.8992744451728827	1083.5	2.1612135329072615	0	0	0			102				
1250	0	0			102				33	0.04	0.06744759743227759	0.9677238102603266	132.1312278966146	102	2.067511625353367	1381.25	2.1388924414568513	
1562	0.01	0.01944329945014504	0.9636363636363636		102	1.4750084005376345	515		56	0.04	0.0684787279391533	0.9864666729376024	159.90666449346395	102	2.114487417629653	1221.25	3.937780159609605	
1718	0	0			102				59	0.02	0.030038328907683855	0.9788259479214254	113.48931421053956	102	2.064953159300749	1227.5	1.6238981738194334	
1796	0.01	0.025083276477910633	0.9338842975206612		102	1.6527412887168142	364		60	0.02	0.02918306390069333	0.9785456187895212	235.68412945083764	102	1.731993646731322	753.5	15.443622018088798	
1875	0.04	0.15205309694138952	0.9705233584377834	105.50472310121089	102	2.235421540932536	1217.25	3.6104961205597914	34	0.02	0.028981139074689254	0.9860907625814959	216.94479247631477	102	3.09796062365495	1383.5	3.321841194470589	
2031	0.06	0.08333449075680313	0.980486868888092	136.5421107535879	102	2.3958879794390757	1835.8333333333333	3.5161822897302355	61	0.13	0.15891934843065694	0.9562124857463373	124.15330080289495	102	3.4013814198974597	1866.3846153846155	5.474553543557378	
2109	0.12	0.15940869999548105	0.9747958788064569	216.75399333547958	102	2.415437489273818	1450.8333333333333	5.975883432292434	62	0.12	0.16547501671985448	0.9626547924046389	104.68857516802366	102	3.3197152256538565	1383.9166666666667	5.051112452741504	
2187	0.01	0.030089938827156725	0.9487179487179487		102	1.6235379253308129	790		35	0.08	0.10740806876264454	0.9635805474465229	207.4210735774756	102	2.574697900645536	1061	5.863509574427713	
2265	0.09	0.09356559780100668	0.9734424517563262	106.88152530664291	102	2.4533373512277468	1998	6.9195116412085325	57	0.05	0.0704930282395034	0.9759062280663386	114.60542471134173	102	2.6325330172290555	1463.2	4.3246774838916835	
2343	0.05	0.10620175785150394	0.965362506436722	90.72634815616017	102	2.1933378686003264	1473.4	3.5666207027802965	36	0.15	0.2007027271486605	0.9606403766561468	123.99579641933279	102	3.724994518803806	1620.6666666666667	7.7558195291787015	
2421	0.04	0.0733818387287388	0.9726362270689682	68.00895051259631	102	1.7073545695781303	1398.25	7.0297579642059596	38	0.23	0.2769536066584265	0.9529964094992857	124.20849571360738	102	4.1928386601152345	1623.8695652173913	6.033865152179583	
2500	0.11	0.17955812378086025	0.9699127523583279	146.70663022161665	102	2.2164681617667874	1527.6363636363637	8.980419961859276	32	0.16	0.18675814703234495	0.9646665983263369	138.23386584958635	102	5.440222440081158	1754.5625	10.804662822088693	
5000	0.1	0.09150813644595705	0.9550987079638915	59.513371469367755	102	1.6074634887566546	1220.7	5.031170394730873	3	0.11	0.0752575175418447	0.9746267632104835	170.06596839296398	102	2.2764422663580124	1180.090909090909	6.106883687687489	
5078	0.18	0.10460323991101593	0.9605574583128893	167.84912143221334	102	1.7364888577820312	1663.5	8.04383623719188	55	0.18	0.11368064454398899	0.9552041276337813	137.73142671379057	102	4.373663783823904	1432.388888888889	5.135551604222157	
5156	0.14	0.12517278314531594	0.9340362911182617	78.4558793347184	102	2.4065560307624208	1073.2142857142858	8.969625516602763	15	0.19	0.1278603710911726	0.9689207387348017	194.8576748464003	102	3.8704899364290677	1108.7368421052631	6.302370334608143	
5234	0.12	0.1388769943315094	0.9235822300583129	146.92248587120312	102	1.8148060694322385	1359.6666666666667	9.356486593984627	16	0.2	0.15406017898710447	0.9653515266085128	163.09285341845376	102	3.6375896757335355	985.85	8.517052080469933	
5312	0.28	0.14589579497055877	0.9571019509511236	134.0973699458414	102	2.17146689654085	1738.6785714285713	9.221072444737764	14	0.36	0.17981748525247543	0.9474915272546564	181.97983011397767	102	4.50819592181861	1654.888888888889	9.164598138298945	
5468	0.29	0.14397382655125593	0.9534862279586684	182.04791776612677	102	1.878195620609108	1496.4137931034484	11.647654608674696	88	0.54	0.2563799436818787	0.9275772446405415	177.17830454641174	102	3.957826951314289	1402.9259259259259	15.213636828622368	
5546	0.29	0.10997637404102653	0.9626578325657588	200.04391123658596	102	1.8517018386971593	1486.3793103448277	10.26091170648562	89	0.45	0.22440308778649629	0.9310068783769657	174.79288610241076	102	3.1938816731071724	1572.3555555555556	17.29658336069187	
5625	0.26	0.18209476211420297	0.9150609263755978	125.57203212842943	102	1.8257446257074588	2151.730769230769	12.010582329692312	6	0.28	0.14177078802786042	0.9463234935840423	151.21490350916548	102	3.7339879279087804	1255.5714285714287	8.405975175764297	
5703	0.66	0.2575599704976724	0.9369726987592941	185.16383421779886	102	2.065542161751131	1453	17.471008253613018	40	0.23	0.16578787081521223	0.9689711661231282	244.70711181054264	102	2.653621699297345	938.5217391304348	9.620532762161973	
5781	0.33	0.12125951152259547	0.9605878652675377	209.28553038182812	102	1.825679976271775	1706.7272727272727	10.056301094407834	39	0.41	0.1914553925279183	0.948211417173218	156.56147950974585	102	3.6312637391029985	1529.8048780487804	9.752904803511253	
5937	0.31	0.19125731944847335	0.9577470269276739	148.46027853487115	102	1.8596360194004975	1525.741935483871	9.801513102143018	7	0.44	0.19783380970814607	0.936060060682972	148.8645392103797	102	3.6704943736866227	1461.8863636363637	12.020230247177377	
6015	0.38	0.17944139892514935	0.9369281451884087	106.83135758288553	102	1.9097965369463792	1537.7894736842106	12.339560548002224	9	0.33	0.16606631178798695	0.9559563473907785	163.66022608302515	102	5.094318727679972	1389.6969696969697	11.640002076797405	
6093	0.54	0.2517219646992557	0.9331075474332816	191.92136890151463	102	2.196720549909748	1816.7592592592594	14.731014051543578	8	0.25	0.1194312207542777	0.9626255547415683	158.05193470154697	102	3.0703259565907497	1527.76	12.36344928423205	
6171	0.45	0.17492262589180776	0.9614890668727575	254.10352186597507	102	2.108150984738463	1211.9777777777779	13.660788067115137	98	0.35	0.17921119424803683	0.9455229483877527	162.59260316439656	102	3.3983395796507443	1278.1714285714286	10.90444311286725	
6250	0.56	0.2896959795888466	0.932839390637349	174.888505320825	102	2.1968061859023993	1696.8214285714287	15.437321596117009	5	0.38	0.19884242313562445	0.9538066694650934	150.32284529906815	102	3.6069972789783384	1314.421052631579	12.035726893787105	
6328	0.28	0.11098189647450381	0.972690368606082	239.36524876540008	102	1.9180888678955001	1426.25	9.325052663413803	28	0.23	0.11346140659585396	0.9752831786319321	224.59693771147406	102	2.442091219478276	1436.2608695652175	7.059807373290552	
6406	0.47	0.1969237163611288	0.933633630443684	177.70928332319897	102	1.8703219168758487	1764.063829787234	15.529218998425552	22	0.51	0.24545227469286068	0.9393642203264218	176.56259157311297	102	3.23678918861068	1200.6666666666667	15.298439688253787	
6484	0.51	0.1896321767877605	0.9447265604889257	156.4601963564798	102	2.156272787223299	1812.2745098039215	13.383388112689568	23	0.35	0.14229944519479212	0.9784065566684224	462.32463176976376	102	3.721744428480006	1206.9714285714285	12.903001641536616	
6562	0.73	0.29632251580251756	0.9335037951971767	234.74677573900624	102	2.177414683864458	1504.6575342465753	18.875121011504667	21	0.41	0.1508545357543626	0.9598166259999537	122.5538263221308	102	5.69452162581749	1164.219512195122	13.552649871353184	
6640	0.52	0.14129916429696623	0.9606729361544974	255.44618421634482	102	1.8552700880644186	1512.576923076923	13.586764808202387	91	0.45	0.15526546599306199	0.9480648647807713	163.06020231154125	102	3.9170804262060774	1270.8	12.751897293266987	
6718	0.67	0.17996892178470075	0.9410586579576197	207.21622427248133	102	2.1240858599022276	1399.7313432835822	16.428017041534446	90	0.43	0.14118297543449027	0.9440432141766446	121.52404908085819	102	3.904369895232253	1220.5348837209303	12.736963705450963	
6796	0.5	0.1536599180255094	0.9511637519739541	213.35761072765047	102	2.14772029584494	1304.04	16.02773446100233	92	0.38	0.13094201060767918	0.9724193519298979	343.8666989464583	102	5.33882058336667	1349.8157894736842	8.67480740453495	
6875	0.71	0.2430687740843474	0.9427880408202776	255.1833421766724	102	1.8148945304203588	1785.4366197183099	21.888531050939196	20	0.33	0.15550948914191207	0.9732935285434943	287.1471548682121	102	3.197212222254431	939.2727272727273	12.150074667754076	
6953	0.48	0.1755225085676965	0.9734384791450806	338.58106199336856	102	1.6699418274698081	1687.6875	13.38742346862211	47	0.6	0.1693587653746022	0.9207425877512527	142.76014816593826	102	4.693599930429945	1295.8166666666666	14.194701116615347	
7031	0.56	0.2321858515063629	0.9541326148048715	198.7972623603665	102	2.363387961513154	1292.017857142857	14.347498010375462	46	0.45	0.148890418967717	0.9413106602804178	123.45880616900045	102	4.6806570804954735	1277.6	12.49030928537477	
7187	0.57	0.19710824908397093	0.9476634723274567	225.00992983177895	102	1.9845845883514575	1554.7894736842106	16.684081845433212	45	0.4	0.1495538434963919	0.9663669034379618	229.97394958450928	102	4.186101281642999	991.725	11.607634314126612	
7265	0.56	0.2046528557661521	0.9305357618258597	173.80657322388507	102	2.0977121393231735	1456.142857142857	16.482095895939562	49	0.48	0.1877030272196752	0.9610349757346083	211.65677362438137	102	4.823715637380934	932.9375	13.050482841337441	
7343	0.81	0.27924746600161854	0.9291757733156139	200.32413952265065	102	2.1839240374658235	1339.469135802469	17.714759998588494	48	0.37	0.134670281653794	0.9719125957084592	249.11643270914297	102	2.4628872968641664	1079.3783783783783	9.964624633296062	
7421	0.61	0.2237886613255837	0.9499488763511663	217.53005202023598	102	1.904909349062868	1304.4262295081967	16.738214658516178	50	0.49	0.15946663941631073	0.9465315626378034	156.24613700355977	102	4.839737363366558	1095.9183673469388	14.004689551148342	
7500	0.66	0.324763513114547	0.9210655172230512	163.0722720253412	102	2.1219860855733916	1447.939393939394	17.00108137967536	4	0.58	0.13590308891319144	0.9324180158003119	152.73185752690668	102	5.301570186422863	1306.1724137931035	12.934357572507741	
8125	0.67	0.21653185135055447	0.950141414208124	214.2697620145655	102	1.8004663805121974	1550.6567164179105	19.066661983377497	24	0.57	0.16629187783790364	0.9370155820764217	153.57481337704326	102	6.508541919249596	1119.3157894736842	14.672054106319196	
8203	0.82	0.23233990080785843	0.9284061108926264	223.46425382107515	102	2.029037618913552	1580.7926829268292	18.666981497364517	52	0.63	0.23091276885301584	0.9687362558205936	421.43386256220316	102	3.869568952526129	923.063492063492	16.370116629716417	
8281	0.76	0.2194814001064987	0.9330357757378291	194.96185007637132	102	2.1621177124145015	1515.2894736842106	17.713444645969393	51	0.56	0.19606710396633248	0.9458596028047304	177.15282939847302	102	6.497226410042139	928.4464285714286	14.185075524229788	
8359	0.49	0.18604813634822887	0.9656585461044022	325.6217934006444	102	1.812785543167989	1209.4489795918366	15.499078033984476	54	0.62	0.1653941542769988	0.9439307716823381	179.87381090196658	102	4.765733403506916	1276.8225806451612	16.59643932167339	
8437	0.72	0.23351906748052317	0.9488052064731336	189.3660672371366	102	1.81201995956606	1434.625	20.688296435137545	25	0.6	0.2133944874513383	0.9676935236748536	407.79542039250543	102	4.851797699359295	932.4166666666666	20.563613182136898	
8515	0.87	0.28251834907966905	0.9190280903030015	205.49618005065494	102	2.140428527790557	1391.471264367816	22.396899140901205	30	0.54	0.21067744502878646	0.9631053147588814	252.8466811997802	102	4.853219822612723	897.4444444444445	15.164671478178056	
8593	0.63	0.2433771476584616	0.9570948241826599	260.2367863375829	102	1.9504341216756014	1194.5873015873017	16.65351831335426	26	0.6	0.145006344027546	0.9322423664494476	143.6444231077028	102	5.04940710423945	1301.2	14.270682206205123	
8671	0.77	0.2563267773598821	0.9452512101142653	244.84385356640513	102	1.9918720647197479	1331.1948051948052	21.178779341331158	37	0.74	0.1737834512594968	0.9219372019807677	155.43050231253397	102	4.081051425657169	1197.054054054054	17.318294527883804	
8750	0.56	0.2435904183708881	0.9597189796418053	230.7556237689295	102	1.9361261113956931	1287.75	14.273998627169785	10	0.65	0.1716741371327671	0.9416968814361348	201.79067250171184	102	4.02341227256082	1164.7076923076922	16.930421199363987	
8828	0.85	0.23073461013722565	0.9191368122609117	203.5017544777755	102	2.0663894291167355	1289.9176470588236	19.46640827236784	67	0.83	0.18064641380956895	0.9224305452184959	173.31689767129927	102	4.7555356106825375	1198.3493975903614	15.033288682615206	
8906	0.79	0.2368505236345374	0.9258444448516935	203.26102494291356	102	2.047407560587772	1179.886075949367	20.76449504594559	64	0.87	0.19007606319701073	0.91083024328352	169.7113348153629	102	4.1482335545631175	1129.448275862069	18.04062463256613	
8984	0.84	0.24542659232189204	0.929753314352483	187.8442682187459	102	2.134016105515924	1173.0119047619048	16.717719236032263	69	0.66	0.15731942947394034	0.930192085473717	134.11402808778678	102	3.6506113330231234	1178.7272727272727	14.860133934263144	
9062	0.82	0.2427098974432232	0.9056857582463448	199.46259047894634	102	2.1183241986447197	1089.7073170731708	19.98880617625192	63	0.77	0.16113148622241785	0.9152131654931711	127.48649045048505	102	4.319032841819905	1223.2467532467533	17.93884716153054	
9140	0.87	0.24053115915283022	0.9181750357472885	202.94260146321565	102	2.1602166118727943	1247.551724137931	20.446663816667215	68	0.87	0.1779402010478848	0.9050720177245413	146.82800278835523	102	5.139648435136336	1176.0919540229886	18.21409942068333	
9218	0.88	0.26428767713655427	0.9069925594292495	214.20276708504338	102	2.128187424437914	1054.875	23.4353216992265	65	0.93	0.19508102155331253	0.8779414553151421	123.84556793270532	102	3.4965971527166904	1089.1182795698924	20.531181079067537	
9296	0.78	0.2032262956067147	0.936535834920243	176.9480780819919	102	1.9143370813089609	1287.1153846153845	18.656147927741525	66	0.73	0.2534758307323007	0.9586416203781368	262.0413232327606	102	3.495215105842172	789.4931506849315	20.549825213487516	
