index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			162				602.67	0	0	0			162				604.37	
2500	0	0			162				602.45	16	0.02	0.060586599455969774	0.9310906651332184	54.09088487580875	162	4.714428065096085	504.5	47.5647161478151	607.1938775510204	
3125	0.04	0.11067670504384965	0.9092807179677451	38.368794389740835	162	4.3545417145031955	485.75	19.55599887455127	607.2395833333334	18	0.03	0.08021883698729847	0.9161081576228991	18.481685942474062	162	5.6386935782922905	584	72.71650378339584	607.3917525773196	
3750	0.17	0.4184007737954247	0.89578992080701	84.02391142641738	162	4.248507804737217	531.7058823529412	41.24435170712069	605.9879518072289	17	0.05	0.11910632144888661	0.8775126652839681	34.95404201667645	162	4.993404915109957	563.6	22.211969383490985	605.3052631578947	
5000	0.19	0.33574302582228527	0.8621129801645468	47.54456553317985	162	4.502833754313127	528.2105263157895	34.86728775718962	605.358024691358	6	0.21	0.31048508119196694	0.8843605094267717	87.01574118950035	162	5.02669003924261	540.0952380952381	38.66418461885873	606.873417721519	
7500	0.33	0.39547717916916714	0.8230758333049211	89.7897543017345	162	4.377045179296662	545.3333333333334	62.03592604014066	603.179104477612	11	0.34	0.3401867625325905	0.8692653747120137	124.00133155394364	162	5.053215111902169	530.7647058823529	58.55675094796266	605.5	
10000	0.4	0.3962349752650629	0.7957792284902389	103.46522007650327	162	4.709985881605298	548.6	85.54492619682539	603.8333333333334	2	0.77	0.6877124540260594	0.8140866945802733	142.83592714006917	162	5.20483457406592	496.46753246753246	63.19319460409363	605.695652173913	
10078	0.76	0.8012871201530143	0.7828810083520298	146.11660039008183	162	4.696713572106825	519.0526315789474	81.61477704805938	603.5833333333334	10	0.49	0.39246216344369234	0.8406680074428123	123.44341854696165	162	5.210553094188512	522.8163265306123	73.25590509318725	605.9411764705883	
10156	0.74	0.7764333589346487	0.7966688631847365	119.24808738342615	162	4.81076683745113	516.0135135135135	91.51831650235651	605.8461538461538	9	0.59	0.5135677639607215	0.8236902421539413	125.00279674261492	162	5.190875413689264	485.1694915254237	53.038319652236	606.4878048780488	
10312	0.79	0.8198277946527819	0.798763631065471	127.65943031376122	162	5.00753150150183	504.4810126582278	90.90152731074187	605.5238095238095	8	0.52	0.4286570422170055	0.8442324610850718	97.47653643429221	162	5.340768251930649	529.6923076923077	68.79437908325096	604.4166666666666	
10625	0.77	0.7770760545527801	0.7914520210086117	146.20186088778271	162	4.9689298797960015	518.4805194805194	90.66030141272687	604.1304347826087	7	0.61	0.5084125609574798	0.8163675771373998	135.7889233249535	162	5.294798461720957	492.78688524590166	62.951977975562926	606.7692307692307	
10937	0.78	0.6453390387924072	0.7990146996219993	145.74355294368905	162	4.803678231213789	491.94871794871796	72.8233917074515	606.2727272727273	19	0.62	0.49630492974887763	0.8316474551776956	141.41594462116123	162	5.64379717940071	516.4032258064516	67.96361214634231	605.0526315789474	
11250	0.62	0.5921952486838697	0.7598985554110838	103.51779338081596	162	5.007115675227609	524.5	98.92128844358146	604.2631578947369	5	0.69	0.5649708262165459	0.8031545366382479	123.22695032668828	162	5.462441615408986	500.463768115942	68.32771814691364	603.741935483871	
11328	0.85	0.6442009785792482	0.7718259079410918	127.61352071057107	162	4.764650210340112	501.3176470588235	94.59363237364155	607.1333333333333	15	0.65	0.531240626667724	0.8092078031291867	133.86273864101048	162	5.45190495744638	504.2	81.8334809089499	604.8285714285714	
11406	0.89	0.7401869096696593	0.7792399325356116	134.84291492936626	162	4.765433864229027	506.1685393258427	78.36433156806024	604.1818181818181	14	0.67	0.5012797597448746	0.8011209851997042	124.52438919530557	162	5.497979604186508	500.6865671641791	62.73944386008573	603.2727272727273	
11562	0.88	0.7831675925249453	0.7892063230283299	156.16471336261804	162	4.774000881924726	492.3636363636364	84.71393139686275	605.0833333333334	13	0.75	0.5947849257708852	0.7881819009845676	125.05627694442582	162	5.61259001932934	490.58666666666664	73.74658425955097	605.56	
11875	0.93	0.8604697424603938	0.7861129501885393	158.48201659163084	162	4.851076842866269	487.39784946236557	90.57353216145937	604.4285714285714	12	0.68	0.49206081582235095	0.7826278271375791	113.7803826809744	162	5.67339050613011	516.6764705882352	74.32258116553278	603.28125	
12500	0.81	0.7289390606946228	0.7407074088115073	119.15125134225234	162	4.982834406446054	517.9753086419753	105.47204253331829	606.3157894736842	4	0.67	0.4457786755449264	0.8049799349581852	124.66510254565847	162	5.799394048484495	522.5820895522388	75.1722686217663	603.7878787878788	
15000	0.89	0.7152397499714772	0.6769360076521828	118.4070926340895	162	5.503292730916204	490.1123595505618	86.78891277764376	603.3636363636364	3	0.93	0.6142599455619692	0.7234219939117135	155.16386310328102	162	6.170601845755057	481.10752688172045	98.91649979112015	603.7142857142857	
20000	1	0.65284932825067	0.5465223688080357	116.73167213910352	162	6.16023690054675	465.27	89.92732483990416		1	1	0.556475285541427	0.5649204151762127	165.56914412830008	162	6.055051782422088	432.66	143.0048494927956		
