index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			171				3.77	0	0	0			171				4.35	
2500	0	0			171				3.34	4	0	0			171				5.37	
3750	0	0			171				3.38	5	0	0			171				4.83	
4062	0.98	347.27143869639366	0.4392857142857141	39.456902255990585	171	35.62923177083333	4.408163265306122	73.68608339997076	3	14	0.95	319.542549613972	0.46631578947368413	49.72086065644453	171	36.471060855263154	4.378947368421053	63.24561143927968	3.8	
4375	0.79	268.25127334467845	0.5196202531645568	40.38748700374926	171	32.74419501582278	4.443037974683544	59.881580375794705	3.380952380952381	11	0.95	277.12952158738176	0.4699999999999999	45.51979108083031	171	38.91649671052632	4.4	74.5255469141767	3.2	
5000	0.61	211.36521136531366	0.6213114754098366	48.23543016358819	171	11.02885822233607	5.081967213114754	74.86136996660373	3.3333333333333335	3	0.96	343.22488380513295	0.4476190476190475	41.66397387846239	171	35.307423909505204	4.416666666666667	63.73928391582833	3.75	
7500	0.64	220.00687521487689	0.6257812500000004	56.61215884994959	171	11.09264831542969	4.984375	104.76285448262578	3.0555555555555554	6	0.94	268.1118083280688	0.4847517730496453	52.731101337753465	171	36.910126171479234	4.468085106382978	67.94286856621443	3	
8125	0.97	262.1621621622395	0.4520618556701029	57.75683914518525	171	43.483610529424396	4.453608247422681	80.73924067539461	3	15	0.95	257.941895194072	0.464736842105263	49.967035974131406	171	38.67616776315789	4.389473684210526	83.20811559626533	3.2	
8750	0.97	267.6600441501254	0.45274914089347057	50.74184474421743	171	37.75941325708763	4.494845360824742	71.67165317052509	3.6666666666666665	12	0.91	281.99566160466185	0.48333333333333317	46.562620819096196	171	35.435815876831505	4.395604395604396	72.51994642783416	3.6666666666666665	
9375	0.98	295.71514785754664	0.45969387755102026	40.15204830147857	171	35.85434470663265	4.438775510204081	69.72465988231338	4.5	13	0.97	261.38507140975514	0.48144329896907206	50.53101064077196	171	38.87948077749141	4.443298969072165	80.70082799489197	3	
9687	0.95	297.43268628649497	0.4754385964912279	46.966238024552155	171	35.29673930921052	4.389473684210526	77.1679961881034	3.2	18	0.97	295.371498172664	0.4694158075601373	47.71288103202342	171	35.23689795425257	4.43298969072165	77.93897270721031	3	
10000	0.39	127.49264465499415	0.6811965811965816	37.46712411136129	171	13.045932062728937	5.205128205128205	56.263120019485726	3.19672131147541	2	0.93	281.39183055973314	0.4709677419354839	43.844766375603065	171	35.52257574484767	4.473118279569892	71.44004555757957	3.142857142857143	
12500	0.47	156.51015651021947	0.6276595744680855	48.87005202171739	171	10.534499667553192	5.085106382978723	68.50409360171533	3.30188679245283	10	1	281.29395218029293	0.4654999999999998	48.21770625424037	171	35.43253190104166	4.49	67.79502309914245		
15000	0.57	191.14688128761162	0.6245614035087723	57.06794887408855	171	10.57665501644737	4.9298245614035086	143.14922087553418	3.0232558139534884	7	0.98	265.7987523732105	0.4744897959183672	52.92650821245082	171	38.09540019132653	4.36734693877551	81.86920065220222	3	
16250	0.96	274.67811158849173	0.4744791666666665	52.939465266142776	171	34.78975626627604	4.4375	83.27795161751853	4	19	0.93	241.9354838710218	0.48458781362007164	45.96610976406307	171	35.60362343189963	4.494623655913978	66.00490382921264	4	
17500	0.7	215.25215252137784	0.5935714285714291	48.44939992299713	171	10.618484933035715	4.9	89.40815891807027	3.1	8	0.99	215.03040834060332	0.47121212121212097	50.67393102090651	171	36.58529237689395	4.404040404040404	84.90723485506669	3	
18750	0.63	189.07563025208185	0.6047619047619053	52.83790321976555	171	10.497622147817461	5.126984126984127	88.21598450170553	3.324324324324324	9	0.99	244.4444444440492	0.4700336700336698	47.46888537007645	171	35.40595867529461	4.424242424242424	81.67337215873002	3	
19375	0.98	250.38323965225385	0.4632653061224488	43.692706455250196	171	37.56221035289115	4.448979591836735	73.74527672215083	3	16	0.99	251.90839694654622	0.475084175084175	50.60922194244344	171	35.94653369633838	4.474747474747475	76.70222250566687	3	
19687	0.92	245.07192328189825	0.4494565217391302	48.28656929167857	171	35.618268087635876	4.5	69.21813346226551	3.625	17	0.97	260.0536193032331	0.47061855670103064	45.550700848418444	171	36.00771882287065	4.525773195876289	70.30956275733541	3	
20000	0.31	91.87907528147139	0.6919354838709679	38.85045138018345	171	10.383518145161291	5.225806451612903	42.79654968583814	3.217391304347826	1	0.94	243.96574098110716	0.4714539007092197	48.02006356516302	171	35.369844996675525	4.3936170212765955	82.65870097120553	3.3333333333333335	
