index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			187				4.087	0	0	0			187				4.438	
2500	0	0			187				4.451	4	0.001	0.42992261392948866	0.6666666666666666		187	21.96875	6		4.162162162162162	
3750	0	0			187				4.61	5	0.003	1.1612154054578334	0.7111111111111111	13.063945294843533	187	5.622870163690476	6.666666666666667	6.172133998483682	4.083249749247743	
3828	0	0			187				4.295	10	0.001	0.3831564427755295	0.6666666666666666		187	7.8359375	8		4.089089089089089	
3906	0.586	240.6472013469976	0.4120591581342439	70.56918166727418	187	43.97294563712145	4.82764505119454	109.14052051457861	4.219806763285024	8	0.529	211.84574105958671	0.43132595193086726	68.13578141670092	187	49.526954121283026	4.89413988657845	113.09545947600127	4.2717622080679405	
3984	0.993	462.57045698043055	0.3252098019469619	91.37935038214134	187	48.078577563405155	4.08257804632427	424.0144551316921	3	11	0.995	466.0203269168788	0.332395309882747	88.23262500443023	187	44.01473153528058	4.084422110552763	440.59677033247186	3	
4062	0.875	372.9752770672758	0.5129142857142885	130.44822985888402	187	49.21150230654755	4.565714285714286	268.44301107329363	3	7	0.93	395.45860441380063	0.4800896057347679	132.27251129627706	187	45.934487847222194	4.498924731182796	234.92991516162988	3.4	
4375	0.822	358.5136078157445	0.5381995133820002	134.19921215550636	187	49.3678916976234	4.626520681265207	265.7167949793369	3.00561797752809	6	0.9	365.06713178925787	0.5077222222222237	130.8462986847444	187	49.95065104166661	4.586666666666667	256.5931831488144	3.04	
5000	0.862	371.5357096677009	0.5221577726218136	136.2245361662313	187	48.644851408425225	4.559164733178655	261.99746874157233	3.0217391304347827	3	0.826	327.0121540837389	0.5325665859564185	131.50769636540647	187	49.541805635124824	4.75544794188862	212.580169888496	3.2873563218390807	
6250	0.865	357.7484594068682	0.5197880539499088	137.7016642917759	187	46.70283482142856	4.603468208092486	268.77393528516546	3.0074074074074075	15	0.874	367.6594312636878	0.5331617086193785	146.73468794712636	187	47.25617124289995	4.65903890160183	272.7403823697593	3.015873015873016	
6875	0.845	342.68797144943585	0.514674556213022	131.54985324461634	187	45.84660210182443	4.570414201183432	257.1274881719706	3.0129032258064514	18	0.903	381.7213391951152	0.5055924695459596	135.42998032758533	187	46.23116247346803	4.635658914728682	249.38081376741877	3.0721649484536084	
7500	0.793	316.8704547271089	0.5432744850777682	138.22200412717012	187	47.238175342843626	4.650693568726355	272.84658910050996	3.0193236714975846	14	0.857	333.5928376800954	0.5241456909484942	132.7596889318623	187	49.23527291440929	4.598599766627771	245.10844921398004	3	
7812	0.833	320.87827426804813	0.526730692276916	135.1950265298301	187	47.2321147208883	4.583433373349339	262.8683864949618	3	19	0.887	334.0740461752919	0.5115558060879397	136.85956942412048	187	48.5607705191892	4.579481397970688	261.8254356662301	3.017699115044248	
8125	0.846	333.7146463650275	0.5302009456264825	134.43767575935075	187	45.97350423122116	4.628841607565012	265.24247217889535	3	17	0.888	336.5421056620631	0.5035472972972991	136.91614996079113	187	45.58799592700958	4.550675675675675	258.55579793690794	3.0357142857142856	
8750	0.87	342.8841682103078	0.5278160919540287	139.16799968633418	187	44.42775749820402	4.627586206896551	276.62126858551215	3.0153846153846153	16	0.907	347.28337864233566	0.504580773875153	142.23793498118167	187	44.185016274503525	4.556780595369349	249.4876968511069	3.010752688172043	
10000	0.856	319.86846530402556	0.527005451713399	141.14352097327816	187	47.76217736930493	4.614485981308412	270.47284043520386	3	2	0.893	347.17362569000045	0.5154721911160915	148.27280184160574	187	43.36703557639107	4.6091825307950725	271.9231490223479	3.0186915887850465	
12500	0.847	314.7294887040059	0.5398858717040586	133.52687041921536	187	46.790668044077115	4.642266824085006	273.229826352889	3.0130718954248366	12	0.889	322.89699259042857	0.5173603299587585	138.3873379958061	187	46.948802158658744	4.59392575928009	264.2027023896444	3	
15000	0.849	312.62657878266396	0.51580290537888	135.31508014402468	187	46.0762530826708	4.6007067137809186	269.4534600017851	3.006622516556291	9	0.858	299.41373534337384	0.5241841491841523	136.33010361629744	187	45.70296927464898	4.659673659673659	270.07644103752017	3.007042253521127	
17500	0.841	288.66616324574625	0.5369797859690894	140.41027051000526	187	47.8969769526605	4.602853745541022	271.13214408238605	3	13	0.823	270.83950373514364	0.544514841173411	137.5564577106426	187	48.02868347644724	4.685297691373026	252.04199587039656	3	
20000	0.842	295.4178654128738	0.5470365343287007	138.9654605150026	187	44.26230632780689	4.7137767220902616	268.4829099605789	3.0316455696202533	1	0.845	267.5744141862407	0.5462031558185437	146.84107322578248	187	48.072718712577554	4.746745562130178	254.49815458656684	3.0064516129032257	
