index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			244				1.035	0	0	0			244				1	
8	1	168.91891891889193	0.3517689393939393	60.80226201860187	244	51.30061570785987	9.66	199.46610143118204		7	0.995	152.44369541900554	0.36942033399319785	68.1052177249189	244	49.95413508118243	9.78391959798995	145.319505925721	10	
16	1	103.8152089281315	0.29752429480564135	55.01093658590426	244	47.14796764861373	17.785	320.7476945177636		6	0.985	92.99471299096363	0.2525017287171347	64.79595042736764	244	47.58975028168052	17.766497461928935	277.68364146387944	17.333333333333332	
32	1	58.156440825831794	0.2781246710805535	73.11890529611519	244	48.32559256670233	34.21	663.8035449321796		5	1	54.71806516921596	0.22272432836771056	72.93558685640534	244	48.19107022446763	33.705	672.0918668262049		
47	1	40.59100503328405	0.24416541068145745	59.46204637295267	244	46.191011415070825	49.195	817.5362849244369		14	1	39.95604834681664	0.21421628836477322	69.42121535972615	244	46.63666041412957	48.945	1024.4463152419046		
55	0.995	35.07844174157898	0.24017786891292653	68.80525640200493	244	46.514072733527065	57.2964824120603	881.8287659094833	57	16	1	35.42958370239478	0.19510848972026248	80.07330615777816	244	45.73875152862317	56.835	1100.8535207005405		
63	0.995	31.64858933172151	0.23657051694668532	68.26320028618858	244	47.32744423114559	65.23115577889448	975.3186589043037	64	4	1	31.289111389237117	0.1906567783788617	93.80706109494469	244	44.879029448163365	64.98	1190.8006092171681		
78	0.995	25.492230634233646	0.22671142458992893	87.58738509147827	244	46.67416741387158	80.39195979899498	1357.8179914530745	79	15	1	24.95227876685824	0.18208347696978444	109.37658781056868	244	46.4193611720218	80.03	1563.0230442324216		
86	1	23.721415694088755	0.21209017265547786	79.73560908174976	244	45.423359973656396	88.29	1557.9559813384205		17	1	22.82245272899345	0.17945188529806252	106.81378861691215	244	46.41619929770156	87.93	1552.5803860602987		
94	1	21.528988783397814	0.21004679700437914	76.10987068226825	244	46.56221006233454	96.23	1526.2778731066342		13	1	21.100830317673672	0.17423145540755164	124.28389891300861	244	46.12514177057106	95.995	1882.3207006909872		
125	1	16.78640972268899	0.2046807529507297	93.26877118613515	244	46.321354001252494	127.295	2175.4173308786667		3	1	16.042866539392392	0.16747878670416938	104.63433208373644	244	46.36664187048733	126.975	2317.5335658447398		
187	1	11.084938340030197	0.156611600242128	99.46443689343361	244	45.99234742164727	189.17	2634.2452421783414		18	1	10.98822611571663	0.1563607708543188	51.4225090992904	244	45.65135913027663	189.035	3063.793112493045		
