index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			22				1.015	0	0	0			22				1	
8	1	171.45306472362603	0.3907272727272722	76.23180762860197	22	52.743612571022695	9.87	204.0881743452565		7	1	191.62594615339555	0.3308888888888888	69.08388112990137	22	42.2571337298769	9.525	212.08630468232224		
16	1	102.57988408467678	0.2760812908496735	76.01819822997696	22	45.140445203321185	17.765	368.6639006845298		6	1	100.01500225032241	0.2378746345029238	76.18147924021638	22	45.579781435100095	17.445	399.8091944614751		
32	1	56.79075446515458	0.24174252640245286	53.44029765344421	22	47.71464328675942	33.83	599.2264655922919		5	1	53.12226088344587	0.23455815508021402	77.06238994461968	22	46.89714262437928	33.79	720.1663680436642		
63	1	32.003584401455555	0.20012628874545843	97.59960687835196	22	47.28888346558658	64.94	1236.2178709610632		4	1	30.511525728847754	0.197736410588789	101.2266598281811	22	45.9917674993333	64.955	1276.152470647718		
94	1	20.39505216034544	0.1832229950013163	95.6340475974013	22	46.760969037460455	95.955	1832.380963881836		20	1	20.766706815635587	0.1802347062000761	115.8553924039345	22	46.32895516620436	96.035	1815.9377061014277		
125	1	16.51895963591762	0.16995964801365684	101.60554890869648	22	46.78069669363642	127.065	2063.5220695188955		3	1	16.12994281935143	0.17236149355191582	76.50321288340808	22	45.70542999893657	127.08	2598.420523776062		
156	1	13.39755226719989	0.1608008318156039	106.41022547037853	22	46.85004117616275	158.015	2835.817608284961		11	1	12.75168641052802	0.17489850816124072	52.67397201407682	22	46.05219397739912	158.075	2487.860289935918		
171	1	12.148823082762783	0.15262428222448995	117.11601283340214	22	46.2383275533027	173.065	3223.4048418538086		12	1	11.483759093701794	0.16264986909910661	80.47017933132713	22	46.261424865356624	173.09	2564.6662874812355		
179	1	11.70432533342694	0.1619390000199867	73.53362933131137	22	46.903510059066676	181.005	3330.1208729428477		14	1	11.328043137189132	0.16377799008349675	65.90258170181052	22	45.814976110235364	181.005	3100.164983559062		
187	0.995	11.119492638223761	0.1635181849579812	97.759612040791	22	47.15541009108768	189	3140.38447901787	188	9	1	10.642883369962512	0.1588611977287968	88.99188295171992	22	46.16096138810221	189.045	2799.402915976421		
194	1	10.781613037126261	0.15214196192030707	122.79719030446824	22	46.735496824034605	196.015	3844.312306043462		15	1	10.399712967922374	0.15902288748529658	65.9198633568893	22	45.72220935567333	195.99	3788.567520534563		
202	1	10.422800919289722	0.15504283759153123	69.5607119670074	22	46.1970116591931	204.065	3615.5083258716795		13	1	9.729140722292158	0.15619312821804984	68.16650042131057	22	46.31435860325438	204.04	3485.8642775975854		
218	1	9.734965562559335	0.15246835966343017	115.42577473418525	22	46.815932576548214	220.01	4293.59019878174		10	1	9.118180740578804	0.1584663219750174	63.52332694939788	22	46.27714446343448	219.96	3757.845062244486		
234	1	8.731413004566356	0.15217253256775515	83.92437015727778	22	45.717917627562635	235.95	4407.3255112524375		23	1	8.634348300976054	0.15378547648858037	86.5213406018495	22	45.79385187540022	236.13	4209.304756192417		
250	1	8.454407493987254	0.14633953588794243	111.9024767354989	22	46.357495670588804	252.375	2248.5551191955215		2	1	8.077185585453512	0.15298075904149952	77.99455878911594	22	45.92091087288349	252.02	4542.036361270405		
281	1	7.251237242354416	0.14807775404315848	73.28396574203565	22	45.90063713594626	283.065	5272.198836062003		21	1	7.196470850695265	0.15497936121686576	72.7730110975586	22	45.82999186198792	282.98	5471.669189820827		
312	1	6.621705287762353	0.1372723534131716	138.42532893390643	22	46.172069683424496	314.005	6699.501577523736		16	1	6.480083463475195	0.14517188766653388	83.85694324380819	22	45.968757036213646	314.05	5145.83508823118		
343	1	6.034493162919651	0.1385161660538147	121.93834213859226	22	46.04924499651307	345.09	6207.6929377177485		18	1	5.89537478371311	0.14058400315576142	120.59794619276086	22	46.200537192102026	345.11	5942.09923729186		
359	0.995	5.640253839766299	0.1404108319790647	176.2889996354719	22	46.053435630090966	361.1457286432161	5984.437121261537	360	24	1	5.55402819780103	0.14290759517595186	80.30280558894171	22	46.04502796302928	361.26	5236.490469489164		
375	1	5.592825523418635	0.13903350424939456	126.42489392983613	22	47.157800073637816	377.085	7104.733844642079		8	1	5.383188839573073	0.14573887921271772	82.67438114364417	22	46.22914399442367	377.21	5840.601061854691		
406	1	5.010961478233359	0.13677931466359616	105.50643306233837	22	45.87920894409	408.02	7541.45843372585		22	1	4.886009400681717	0.13863408266741975	116.77531343530286	22	46.06705292672226	408.125	6724.435627935322		
437	1	4.778801237709441	0.1322923717991289	164.93578586538456	22	46.043385901946394	439.055	8029.810990649819		17	1	4.533810894747831	0.14118520647702518	115.58231256923958	22	46.24294494101018	439.195	5900.612578889047		
468	1	4.421619064252793	0.13152232983541187	148.92607972004663	22	45.99273862067906	470.045	8737.952494806854		19	1	4.259896271525894	0.13788862542152147	117.29449414460511	22	46.13601870484903	470.555	5542.9414196772295		
500	1	4.267695465786797	0.13564468221830397	62.0422828496838	22	46.10681680136369	502.345	4023.870179429418		1	0.995	3.992336319226456	0.14070474235159694	91.17630224807318	22	45.934667800433644	502.64824120603015	5467.241427864303	501	
