index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			31				1.73	0	0	0			31				1.48	
2	0.23	59.74025973994362	0.5072463768115941	13.97461466633206	31	32.88168025362319	3.5217391304347827	15.901842963984338	2.8051948051948052	15	0.28	57.875155023371704	0.42857142857142877	14.522027603412987	31	25.33905319940476	3.607142857142857	17.037096183623056	2.861111111111111	
3	0.4	59.14534969695237	0.38625	19.20956854357875	31	42.75517578125	4.675	24.635139684137382	4	45	0.32	50.0156298839894	0.41718750000000004	16.00371480551517	31	21.687933349609377	4.71875	23.584931841140843	4.0588235294117645	
4	0.29	45.00310366250284	0.4297208538587849	18.769166735775812	31	15.757691912972087	6.689655172413793	21.180647729213412	5.070422535211268	13	0.24	30.264817149867557	0.3500000000000001	13.174905122998048	31	26.307145182291666	6.25	19.471957017509645	5.078947368421052	
5	0.43	47.97500836771595	0.3521594684385383	26.705004205227503	31	41.091411873615726	7.093023255813954	28.452479090892876	6.0701754385964914	34	0.21	23.526775711420843	0.3217120181405895	15.347019088076799	31	30.285896975977895	7.476190476190476	17.71553221010141	6.012658227848101	
6	0.16	14.937914293702454	0.37375992063492064	14.12499136513992	31	32.95834447467138	9.4375	14.45286763020254	7.035714285714286	21	0.35	32.261037883630216	0.31258503401360554	29.185113367845474	31	17.895754721159296	9.142857142857142	27.445535108484005	7.246153846153846	
7	0.35	29.711375212227043	0.2785714285714285	22.173214159317208	31	41.24884486607143	9.8	22.282765667575124	8.153846153846153	78	0.29	26.678932842697723	0.2897509578544061	22.57651453471768	31	16.98676028196839	10.448275862068966	19.24131094999286	8.352112676056338	
8	0.18	13.054830287150713	0.29848484848484846	14.897774618151857	31	30.338000666386083	12.222222222222221	14.724865927651136	9.21951219512195	12	0.24	17.911784461441076	0.27916666666666673	20.099240118707577	31	23.711338975694446	11.25	23.005681116549532	9.289473684210526	
9	0.35	22.547188043504487	0.26870129870129866	22.5822117433367	31	37.59236505681818	12.257142857142858	28.181101108123524	10.36923076923077	33	0.2	14.741652539207147	0.33886363636363637	20.213342989878438	31	32.793372987689395	13.1	19.10099776006262	10.275	
10	0.37	23.33354354538921	0.22276822276822267	21.27030791375748	31	36.39944205569206	13.432432432432432	27.96164351294394	11.26984126984127	31	0.22	13.708019191239595	0.3216783216783216	16.022945041588315	31	13.92513962422521	16.40909090909091	20.61836448209968	11.384615384615385	
