index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			87				17.272	0	0	0			87				17.596	
2500	0	0			87				17.304	3	0	0			87				17.614	
3750	0	0			87				17.464	4	0	0			87				17.792	
3828	0	0			87				17.222	9	0	0			87				17.782	
3837	0	0			87				17.226	24	0	0			87				17.726	
3839	0	0			87				17.346	82	0	0			87				17.66	
3840	0	0			87				17.248	107	0	0			87				17.422	
3841	0.626	45.84871389204534	0.3558746994933873	63.22842907684633	87	31.568575661525077	19.87220447284345	145.2977880733788	18.299465240641712	151	0.548	33.8229848165882	0.3948478735736991	64.81995053156096	87	30.468150510879216	19.854014598540147	135.07543921397547	18.287610619469028	
3842	0.654	58.85317303201511	0.32931560208841676	88.50484158987004	87	31.212636704664437	19.198776758409785	184.87738284569107	18.508670520231213	47	0.672	49.063987617129364	0.38218633148039205	80.17800883787862	87	30.847285608852914	19.56845238095238	189.04804070900437	18.20731707317073	
3847	0.708	63.250428817131734	0.3306295123209508	99.51227205355057	87	31.08356758280762	19.502824858757062	183.3099823984574	18.36986301369863	18	0.588	39.14050643043764	0.3850697248216515	61.92243205385492	87	30.981010660388815	19.622448979591837	144.31776682778298	18.844660194174757	
3857	0.678	42.60613830071987	0.3637109498097618	60.026750653547914	87	32.95077678127703	19.536873156342182	144.36466664095119	18.279503105590063	109	0.506	29.477216325754988	0.3897708378551958	59.8762201073854	87	32.40564755141309	19.818181818181817	144.67466168254785	18.2834008097166	
3862	0.612	40.16696857511552	0.35358126836492926	54.798745179915464	87	30.133759543767418	19.640522875816995	136.62321762730485	18.38144329896907	276	0.598	40.052510314649986	0.39385046049118666	69.30957340480315	87	31.108171848523664	19.612040133779264	158.0721321769656	18.228855721393035	
3867	0.612	54.32756324837253	0.3411112989161155	86.18201853256237	87	32.302091836674684	19.774509803921568	149.68810391530187	18.45360824742268	15	0.59	38.817832517716894	0.40382810440217154	62.61414496104615	87	30.74721311471518	19.65084745762712	160.79006910704118	18.492682926829268	
