index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			64				101	0	0	0			64				101	
2	0.04	0.455809289396675	0.027227722772277228	9.526279441628834	64	64.04588876856435	121.75	23.442860612502464	104.02083333333333	15	0.1	0.9478403457719238	0.026732673267326736	16.768593092019238	64	61.92573870668316	112.6	53.233718712363725	105.11111111111111	
3	0.78	9.515328217828037	0.08604670927049657	28.538354859480297	64	55.788872959609215	104.42307692307692	306.75855687853743	104.18181818181819	19	0.66	6.274062455477669	0.05333950014076225	42.8653613495204	64	55.5808848334126	106.1969696969697	186.73696415044327	104.20588235294117	
4	0.78	10.011166300821637	0.11714339759767832	34.748718458922546	64	52.72484401561621	104.56410256410257	296.5423457061016	103.5909090909091	12	0.79	7.108599605823551	0.07536107477254392	30.794223577270323	64	53.36566394827998	105	236.81996464017539	103.80952380952381	
5	0.77	7.835953798429015	0.09437634478957403	31.139237018801918	64	54.60730549599296	104.14285714285714	275.82276929123725	105.08695652173913	49	0.81	7.770231380209855	0.10187470222369661	25.4700639011282	64	55.47911717017318	104.70370370370371	289.8929746591637	104.63157894736842	
6	0.89	9.643201542905631	0.11986504452365063	27.75599871405044	64	54.37549657193078	104.69662921348315	261.7659764834026	105.36363636363636	48	0.82	8.652527170980216	0.10198397985387822	33.10673074528657	64	55.54401826128449	105.1951219512195	269.87310376447465	104.94444444444444	
7	0.85	8.416591577473818	0.13627100475280574	27.205587469033233	64	54.75171120774763	105.15294117647059	227.83451710103682	101.93333333333334	50	0.81	7.268941875389555	0.13004132624729747	25.42618072913912	64	54.78558810587344	104.8641975308642	241.21992615929324	104.57894736842105	
8	0.81	9.7688049494574	0.1768012207166016	34.46788957956279	64	55.15045196394223	105.50617283950618	205.91183242220623	104.73684210526316	9	0.8	7.3024015772983795	0.13285874881419077	35.01878412352386	64	53.39404403301042	104.2375	254.31352027309052	105.05	
9	0.89	9.703868463516239	0.13325232748581345	43.52450935282967	64	56.60806245059662	104.11235955056179	278.9324965077298	105.9090909090909	35	0.9	8.871452651124534	0.14860291091051725	31.129966721991902	64	55.455627569391034	104.38888888888889	235.27027706725752	102.9	
10	0.96	11.774951244362143	0.19508446897621434	31.95775841844326	64	55.95311191246176	104.19791666666667	273.36418558593033	104.5	25	0.73	7.097508094083851	0.14601272036580742	38.805807841386276	64	56.426548148515955	106.5068493150685	178.37339523153082	103.88888888888889	
11	0.87	9.315074359978817	0.14933637305578107	45.90805487557239	64	53.96606911553639	103.7816091954023	287.9326567754737	104.3076923076923	88	0.81	7.995498830304157	0.1499107792688418	43.482852309398865	64	55.12552892727616	103.48148148148148	330.8174327909147	103.89473684210526	
12	0.95	12.003285109676744	0.2072472700507984	38.26234110786475	64	54.91989023848217	104.07368421052631	335.8511966183082	105.2	21	0.88	8.457147250522572	0.16465820557994182	42.56602167770927	64	54.29793014209215	104.57954545454545	228.35835589300603	103.41666666666667	
13	0.91	9.989461666849184	0.16462584791496757	58.697445412911925	64	54.642731345496195	103.7032967032967	363.02618563250775	104.55555555555556	56	0.89	7.931556902223052	0.18641150902933948	36.65855025444692	64	55.74069536633461	104.31460674157303	262.2562798304288	102	
14	0.89	9.265139133161622	0.17663996441442575	46.422039855685505	64	54.33054033706466	103.95505617977528	304.6269373469124	103.27272727272727	55	0.9	8.573061535513085	0.19100891058665018	36.608676418212355	64	55.07069000783048	104.83333333333333	215.27014433667998	104.4	
15	0.96	10.453644619662684	0.19282087825711533	43.81284615621488	64	54.94201529345065	103.6875	309.8524896477501	101.5	68	0.91	9.47630403321602	0.17732993259507276	59.30364498722981	64	55.583916686352566	104.12087912087912	257.7619244137495	102.66666666666667	
16	0.92	11.46074694169481	0.24201458643342524	46.55784890953674	64	55.62361892863087	104.15217391304348	300.6388044413561	106.125	8	0.9	8.44935550190231	0.1896298371158139	54.321047035149	64	54.20383562891713	104.7	257.9574485901934	105.4	
17	0.8	8.3069414880066	0.19110740980937696	62.44569512726793	64	54.63285062497484	104.0125	280.68899311608345	104.2	131	0.92	8.352322762751983	0.19169457280539112	66.85243336553079	64	55.60027594111544	104.77173913043478	211.80864933141856	103.75	
18	0.96	10.307728649060424	0.20972665032214255	50.00811211498252	64	55.832297494824786	103.63541666666667	374.19983224178026	103.75	129	0.9	8.453641171093489	0.2254594785369404	40.524203211705874	64	55.64972208031215	103.77777777777777	338.7175208675991	104.7	
