index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			12				101	0	0	0			12				101	
2	0	0			12				101.6	16	0	0			12				101.33	
3	0.98	23.43544491474198	0.14649021466693957	24.37119611080237	12	39.6189585534154	101.92857142857143	858.9338781574472	101	18	0.92	22.645596416061746	0.0718711176173114	37.15018755000306	12	39.78956050396464	102.18478260869566	389.53279567195955	104	
4	0.98	23.032810002767786	0.23202054876517625	22.431514630591604	12	39.84119751292252	102.64285714285714	629.0665630463948	102	13	0.95	23.355869698805467	0.09142090551596263	38.383082797635424	12	39.26824554136232	102.52631578947368	438.20996568096916	103.4	
5	0.99	24.506770304674326	0.2573848429854584	20.079427831236277	12	39.90316536585072	102.55555555555556	645.4745878249315	117	130	0.97	23.62856864461392	0.24834243720587829	19.53811399378544	12	39.28560438417695	103.04123711340206	560.169981669032	108.33333333333333	
6	1	25.1509054326265	0.14875116279255207	38.487592716446976	12	39.22214118100123	101.69	1226.3536097230315		95	0.98	24.363564041359027	0.16011415811964402	23.88130385325789	12	38.885778525335816	102.06122448979592	883.2451131224269	103	
7	1	25.167996375822234	0.18613357195228356	35.53158347797584	12	39.29803814004708	101.85	1216.0736456317106		100	0.99	24.810786426744368	0.176693241032996	29.243477882215473	12	38.09342180638307	102.17171717171718	523.3211504817367	102	
8	0.95	22.170879133708578	0.2960430559750876	29.14913891899708	12	39.10856893608485	103.94736842105263	432.3572632399224	102.8	9	1	24.22304580579847	0.21904734277046997	28.404648290857292	12	39.77604374074053	102.5	220.85891959304843		
9	1	25.25061232731004	0.2592539688643575	29.782193976431692	12	38.87547752052276	102.47	738.0817326836179		101	0.99	24.162253191161287	0.24433027883041986	25.717285364964717	12	39.59405182873332	102.31313131313131	710.2504325761516	104	
10	1	25.875229642723404	0.287865131048765	27.952870287090924	12	36.63490987043561	102.7	821.9774868106362		96	0.98	23.640661938568005	0.27273384051947414	24.769949194893563	12	40.259795630251524	102.55102040816327	806.1954571511116	109	
11	1	24.52603438547332	0.3567234713543794	24.965856410418123	12	38.97319500934648	104.04	529.8849343211391		131	0.97	23.84757221878032	0.30917109905801565	24.406098042044682	12	39.053470723192405	103.12371134020619	604.1504684968793	102.66666666666667	
12	0.98	23.795071020936877	0.34817132293586023	25.88380567448143	12	39.33557993811782	104.0204081632653	493.5411306642049	106.5	62	1	24.631755258862512	0.3480616722319759	24.669718489464884	12	38.29569725722167	104.17	540.4575092673557		
13	1	25.529742149595943	0.3689462441913309	26.82233352562263	12	36.322726577870036	103.81	542.1149590049145		132	0.98	23.92578125005576	0.37243978414165013	27.616108838490113	12	39.036287321130395	104.20408163265306	595.6920158487646	103	
14	1	24.78130498359021	0.4040825235589437	26.972986584875493	12	38.794969751013355	104.23	512.2949516202515		118	0.99	24.965325936163076	0.342564460016018	26.53608501930162	12	35.70108107107665	104.16161616161617	479.38700244682656	101	
15	1	24.318474745273065	0.4254965032042811	28.122448857923402	12	39.55638563354524	104.66	455.0579164725772		144	1	25.255076270317865	0.3421480889091798	29.482013951216977	12	34.6458747121779	103.85	708.2032310550894		
16	0.99	23.214369460234664	0.3137661304385931	39.87575599412824	12	39.27677728863901	103.42424242424242	781.5538422125104	101	7	0.99	24.22492475591719	0.4294560489789174	26.994585647881763	12	38.48651866734237	104.85858585858585	443.8533408122903	104	
17	1	23.881167311485274	0.3840485881813167	23.48883254772386	12	39.980986015061056	104.13	432.8135448509643		220	1	24.099869860733044	0.4254775139750042	26.408390323845286	12	38.68800785768924	105.24	431.04279505723633		
18	0.99	23.625993365618726	0.4381454553971447	26.31331380205158	12	39.743156394193576	105.11111111111111	417.146790044526	106	200	1	24.018830763290772	0.41658564726697433	24.78493339406604	12	39.44915542507517	104.62	467.1556895151491		
19	1	24.474412002305897	0.4597847968855337	29.742731965516256	12	38.02309398749285	105.16	446.59100473981863		221	1	23.684896141736424	0.42893948293569933	26.12820030812051	12	39.77352885834447	104.77	412.0281215576895		
20	0.99	24.37883227857837	0.38731716771402086	34.45668933954703	12	38.5213346559743	104.35353535353535	540.0229258129956	110	173	1	23.45050770351841	0.42060947418959016	26.662123768444193	12	39.37717969058582	104.96	403.29915111839875		
21	1	24.055809477951207	0.44422518232908453	29.38338789053674	12	39.00514776483232	104.79	445.3681361824119		202	1	23.904572944781457	0.4428150467560566	29.45503099281863	12	39.57309971138546	105.12	411.83162318252687		
22	1	24.597825552268233	0.3767197825998507	26.21333415998047	12	40.531239951124086	104.11	446.9485759311321		201	1	23.842449096382033	0.4644057926303959	30.800728177030525	12	39.6921507232334	105.04	475.71698397233973		
23	0.99	26.36695341834747	0.4803626453480112	34.05639178277895	12	40.34514783484001	105.53535353535354	407.35218248995864	101	203	0.99	23.851398559288793	0.4619475264291632	32.41382835841392	12	39.421650391493785	105.33333333333333	432.36892773257415	104	
24	0.99	24.933887419746757	0.46736414276175653	32.20780126864705	12	37.26851188101562	105.23232323232324	432.8449963766709	101	79	0.99	23.663830194069615	0.4616511337275032	33.52230363311321	12	39.47797385219423	105.0909090909091	494.25993547218525	101	
25	1	23.969319271298584	0.48626051599048375	36.75521847529785	12	39.51223049993245	105.83	449.98732549522146		145	1	24.040195206363816	0.41445312822062846	29.662109188770447	12	38.09989023084539	104.5	431.43717412549336		
26	1	24.466627520095667	0.46207456694907845	32.1817219579646	12	38.9694609318757	105.09	444.35598309543553		119	1	24.454063042533868	0.4481571159865039	32.049690088877234	12	38.22548477305108	104.71	488.35156027120144		
27	0.99	23.18609770952405	0.4586468364572656	32.15977715090004	12	40.110676625531845	105.33333333333333	410.6136329392334	101	222	0.99	24.019215372363238	0.45096621294824396	32.27962232922111	12	38.358106434007425	105.12121212121212	456.82677170849905	106	
28	1	24.676734774451667	0.46900428210813705	35.359424543743216	12	37.994089354629935	105.54	410.8221491677875		103	1	27.398010904377582	0.48331785982475783	39.41770024732734	12	40.41627487458699	105.25	502.0473234117115		
29	1	24.093482712906557	0.47153670142900045	36.12199234307541	12	39.3222657180554	105.64	449.62339435348457		223	1	24.628115456591704	0.484555435499598	46.64348763359224	12	40.463963056615654	105.49	543.6747815906365		
30	1	24.937033989180367	0.450425395939583	36.198197596786734	12	38.667548655475464	104.98	457.5449285662914		204	1	23.73042240147679	0.43883942672524623	33.8613923297381	12	38.946938893476066	104.86	437.88637828251314		
