index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			241				101	0	0	0			241				101	
2	0	0			241				101.13	17	0	0			241				101.09	
3	0.99	21.86492336233896	0.045188832608751096	61.98037257928468	241	116.0962679065088	101.27272727272727	1072.480668006011	104	19	0.39	8.375928869034082	0.047727849708047755	26.510584559157703	241	107.32972260567404	102.97435897435898	226.30581947920678	103.54098360655738	
4	0.53	11.987966795593781	0.06351578554081828	29.160152012786757	241	107.52082944143471	107	227.91032028839703	103.82978723404256	11	1	22.38438465326635	0.055507668413900244	54.15120186223342	241	109.21683872442853	101.57	1034.3362975323203		
5	1	21.878965562508174	0.07320714424383619	35.43997659450427	241	118.5284529968392	101.11	2915.2271665723133		20	1	21.87226596675304	0.10625722595103593	31.750413520331474	241	107.34823021395984	101.12	2623.563426555645		
6	0.99	21.906532129579556	0.08578222185439566	46.15759117360238	241	116.00543802290653	101.61616161616162	814.6911714755614	101	16	1	21.940409846855715	0.09333721607454859	40.70182897214278	241	112.42939305247161	101.15	2804.4389438887774		
7	1	21.587548302139382	0.09504700755626669	91.25915853788615	241	126.96902451751995	101.33	1770.3253346136914		32	1	21.687739920622214	0.10765967773247909	35.84086063099441	241	111.4813337178157	101.28	2129.9725634053957		
8	1	21.71081198436825	0.11625157147353797	35.67807071930681	241	123.8834129603407	101.42	1665.125085213422		9	1	21.082368814959842	0.15350059277772424	32.31430592219655	241	116.91996832027444	101.28	2039.907253831114		
9	1	22.067261011563925	0.145708910891089	29.89209278256487	241	109.39937214861189	101.48	1380.5167009502454		147	1	22.03128442388304	0.1576312054447107	25.952840431100633	241	109.2244011309998	101.42	1621.1361920232075		
10	1	21.965470280718826	0.20589402943720977	34.173638492425454	241	105.41753012905136	101.54	1612.9939670968886		90	1	20.68722977306049	0.12890800966161708	45.15636534222804	241	122.1772925685237	101.55	1384.2160811409105		
11	1	21.37619973921047	0.16709157237825423	34.56909955571716	241	108.6500238104673	101.77	760.075492780876		148	0.77	16.365916385044894	0.15925369020983401	36.27250589129593	241	110.59682850473655	105.64935064935065	355.7087046772446	104.47826086956522	
12	1	20.895584762939794	0.2195541475302474	30.38530798766491	241	117.15644190749106	101.69	1226.3536097230315		56	0.93	19.94210357027884	0.14648803543975178	40.586902278232415	241	121.84756685753527	102.6774193548387	382.99738024876865	104	
13	1	20.923566212626604	0.2483409395117345	29.27799793384994	241	117.7251689463238	101.84	1463.7983222994803		92	1	21.45692522261667	0.15310983068609532	67.07772288126804	241	125.17510175291153	101.84	1743.4939747544527		
14	0.99	21.22413977918372	0.27016948791776185	35.985394229769014	241	116.83290132569705	101.81818181818181	1324.8156840617269	101	91	1	20.534724218653547	0.15729192175247028	96.7177141959865	241	126.07561452980373	101.8	1679.6999999999998		
