index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			57				1	0	0	0			57				1	
2	0	0			57				2	11	0	0			57				2	
3	0.01	7.127583749107796	0.8		57	112.078125	5		3	12	0	0			57				3	
4	0.35	141.58576051791772	0.7333333333333335	62.62691948634583	57	114.59078975340134	6.942857142857143	171.90131569496847	4	8	0.35	145.65126924709946	0.7442176870748302	72.53149372802226	57	124.95731558248302	6.914285714285715	141.94648555671958	4	
5	0.77	201.41250327004994	0.7047258297258298	89.4917719155343	57	116.46573505704366	8.7012987012987	164.6577719392799	5	10	0.75	201.1802575112071	0.7044708994708994	91.46206507793876	57	126.21863932291667	8.466666666666667	117.01878468430658	5	
6	0.91	199.95605361453332	0.6787129537129535	110.2684863168187	57	116.44254961618242	9.89010989010989	110.48863326031656	6	9	0.9	199.42388655010052	0.6857014590347922	94.37118801385931	57	125.38210937500003	9.688888888888888	122.8257622771795	6	
7	0.99	198.87505022093333	0.6819994819994817	91.26791271816033	57	104.57237671029694	11.181818181818182	130.30018912066015	7	14	0.96	187.3902010539251	0.6677573005698009	86.37404535614704	57	124.02170452363929	10.739583333333334	108.4588418071421	7	
8	1	173.37031900144075	0.6353066933066929	103.08306730601846	57	118.09312429497582	12.05	136.17050542327905		7	1	175.07002801139714	0.6463260073260072	95.89531871335055	57	120.09713400076487	11.97	109.5982235278561		
10	1	146.2629808396342	0.6303050258564965	87.93404540391585	57	119.78980959366918	14.08	132.09100311318778		83	1	144.73874656232798	0.607335676578324	95.87974247917045	57	121.05182376981739	14.04	137.73461743135982		
11	1	136.01741022849635	0.6005362888745246	110.8594772904218	57	123.44218304890066	14.9	158.1473200139231		85	1	137.76002204168748	0.5995402344473555	101.82328619379835	57	125.18002133086934	15.01	118.59869003349428		
12	0.99	132.3175621491662	0.6150241418559272	83.89302027226289	57	108.72826689498676	15.95959595959596	175.0419325707377	17	82	1	129.9545159195265	0.6018068745839646	114.35043218658565	57	120.22915650171113	15.96	129.07858605310676		
13	1	123.24377618936963	0.5906715686274512	110.07678573051693	57	119.5237258115177	16.99	167.37453650375866		86	0.99	122.26750648390754	0.5836336918251265	101.6117550087594	57	113.65704977399332	17.2020202020202	150.206905693698	13	
14	1	115.313653136584	0.5840949002407986	107.91245582072418	57	117.4559085970086	18.06	188.84348941378977		84	1	125.53351744907087	0.6160304437564502	89.8913085538506	57	104.56360895296989	18.18	195.49407502406052		
16	1	105.6747331713423	0.5742759467839558	94.62204442177891	57	113.87527625582995	20.2	204.10373281740831		6	1	104.13412475261329	0.5578093058733795	107.71217392036712	57	118.57694195780408	19.95	214.53998265892548		
20	1	87.38203425374675	0.5546381704446923	91.44102767347925	57	115.66899998062112	24.31	220.26027511530322		87	1	85.46278095886859	0.5407723066788287	99.2156352691119	57	121.72448002040419	23.96	239.80806583238316		
24	1	76.94675284706699	0.5286931286820747	95.24829367285555	57	112.50549089046241	28.14	252.17857610786638		15	1	73.12079555423198	0.4981832531782475	117.9654055753789	57	123.52356987660738	27.92	277.29677399776		
28	1	66.78242286629276	0.5104698131696472	103.18862240730165	57	111.95267091839068	32.18	276.49521031785787		17	1	64.59113809584548	0.4901389027507386	119.47780213024772	57	120.61732281491346	32.06	303.11972564268433		
30	1	61.62948354490501	0.48314557201844344	120.06317695652731	57	119.43755305240462	34.11	313.82055565713785		19	1	61.39866150917208	0.4906301279315983	106.97150555488352	57	122.62116939192377	33.93	335.0536996402643		
31	1	61.22199093915619	0.4821282367164717	125.8952502546367	57	123.20258831022942	34.88	399.9067376255222		21	1	59.64451866874346	0.4985220754709918	101.94030789634205	57	120.57849008032996	35.32	289.6254420729324		
32	0.99	57.37799930450034	0.500070082474623	98.1763469995063	57	118.85429211376486	35.91919191919192	364.3235529411993	33	5	1	58.70611717740106	0.5009835793487912	86.18172522970177	57	120.25538076880075	36.12	278.75380029063587		
33	1	56.79881858458593	0.49099549319735436	156.8223102067739	57	116.6793153561997	37.19	297.2780538824826		20	1	57.16572343224754	0.47947849988543145	120.96539974630775	57	117.42302450948229	37.07	331.56754271798366		
35	1	54.71058102636976	0.4831401002315636	81.056624740118	57	119.11297751521084	38.96	421.23893683799497		18	1	53.786574870889986	0.4801101041960895	117.5114280838349	57	120.87274847192512	39	386.1		
