index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			133				8.026	0	0	0			133				8.032	
2500	0	0			133				8.09	3	0	0			133				8.106	
3750	0	0			133				8.064	4	0	0			133				8.286	
3828	0	0			133				8.01	8	0	0			133				8.076	
3837	0	0			133				8.006	19	0	0			133				8.116	
3839	0	0			133				8.01	37	0	0			133				8	
3840	0	0			133				8.008	51	0	0			133				8.02	
3841	0.994	346.3173298022169	0.39374232407431775	123.1562204946281	133	33.85180910073762	8.73440643863179	279.0995483043044	8.666666666666666	80	0.996	309.7207537776998	0.38714258187149886	119.66031759970022	133	41.90463978110993	8.642570281124499	298.99789061611443	8	
3842	0.994	320.91431523226044	0.42557610620990893	103.81515615346983	133	38.01742358256721	8.90543259557344	233.269847132839	8.333333333333334	24	0.992	303.6238981388889	0.3999215949820801	120.17027476458075	133	40.90457327536009	8.735887096774194	280.064449346256	8.25	
3847	0.992	302.42058411263974	0.4687548338757996	87.76425870760849	133	41.58736297280806	9.15725806451613	192.628306987745	8	14	0.994	298.3909702195899	0.41040891815539843	123.58131304331069	133	43.235467601616655	8.730382293762576	284.3750611891212	8.333333333333334	
3867	0.998	304.6212074971436	0.42269336653104306	111.29928722483331	133	40.57270515620889	8.887775551102205	258.2611256075103	9	9	0.988	285.4666281413105	0.4300816086747274	101.62045694403949	133	42.292613495511354	9.04655870445344	220.81977086476192	8.666666666666666	
3886	0.996	298.22145038741075	0.4532501802080123	93.8933878633422	133	41.173576615428786	9.186746987951807	209.79608658654092	7.5	250	1	287.2737719046443	0.42800606060606283	127.18275286856952	133	43.00665028409089	8.976	313.8160005688155		
3906	0.984	279.7520896130412	0.4781078846627631	94.34816615951651	133	42.44662282730714	9.325203252032521	212.5670904117706	7	7	0.996	285.9932234546898	0.46206282004474863	110.08698411101945	133	42.37701907861514	9.17871485943775	224.4469071590134	7.5	
3945	0.988	287.1425249932509	0.47499079867501076	123.99821242697966	133	41.343107582578725	9.303643724696355	276.8634651087808	7	143	1	287.80291256415603	0.4549287878787902	139.65902209984364	133	42.457484240845986	9.168	287.1137972524575		
3964	0.978	277.96725784440855	0.48642826725648947	101.14697519232615	133	42.17880640722496	9.484662576687116	207.3806311704249	7.090909090909091	222	0.996	282.8259881866005	0.45903918705123703	140.93865099673303	133	42.75129964103569	9.214859437751004	294.39363214696806	8	
3984	0.972	267.5180271906428	0.516996971935243	105.57191342226237	133	43.48700151006042	9.633744855967079	193.87468854241735	7.142857142857143	115	1	287.37283751931693	0.4840812742812751	144.3501113354635	133	40.33678494879685	9.354	296.1916588309811		
4062	0.976	263.584314570747	0.5735033181754478	106.54846134493158	133	42.25327635477938	10.25	186.61562667926412	7.5	6	0.994	267.11813393529303	0.5001022060881227	139.03139475882924	133	45.11941506523239	9.458752515090543	262.50952952318306	8.333333333333334	
4101	0.98	261.15226776052646	0.5176678083820928	137.42122602792608	133	43.44997247079557	9.769387755102041	239.78020509057248	7.3	93	0.99	255.06260627523525	0.5636723882178404	137.10697966022062	133	44.467742208776784	10.018181818181818	226.16338532410887	7.6	
4120	0.968	249.02243259946732	0.570638119914978	128.06434986484706	133	44.27307775069083	10.146694214876034	204.45355691495118	7.125	251	0.98	274.61749705777	0.529981288552717	131.16167301082743	133	39.70258748614361	9.806122448979592	218.2834337459049	8.2	
4130	0.946	250.59602649045266	0.5718021818444633	119.48624767446658	133	43.121232774733095	10.093023255813954	192.58416287210468	7.333333333333333	257	0.998	262.7422072451784	0.5166374318177933	142.33555141440436	133	44.708598489623256	9.625250501002004	268.4103452786935	7	
4135	0.996	278.0259044227986	0.5348433750542179	134.52892440256224	133	40.15774348258048	9.763052208835342	227.21680853479108	8.5	267	0.982	249.56795771143433	0.5391932801301436	128.55965377088245	133	44.84992374811366	9.947046843177189	222.32477924143157	8.222222222222221	
4140	0.994	260.7418288661968	0.5036455328708854	129.71335851402796	133	45.42784448074666	9.567404426559357	248.73100150302724	7.333333333333333	66	0.988	263.0878202039134	0.5442459081629106	142.32784525289293	133	42.936920945522395	9.882591093117409	238.53419883567454	8.666666666666666	
4159	0.996	257.3510412895338	0.5266748033314292	122.08073562930544	133	45.1340331586337	9.74698795180723	212.81950933143025	7.5	130	0.99	260.48518654833686	0.5619914765369297	151.26631338033474	133	42.791852354799175	10.048484848484849	230.23825411875075	7	
