index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			109				1	0	0	0			109				1	
2	0	0			109				2	25	0	0			109				2.06	
3	0.02	7.241129617167489	0.8		109	63.311328125	5		3.0306122448979593	32	0.05	17.409470750835837	0.8	151850024.99880248	109	74.91328125	5		3.0631578947368423	
4	0.24	53.35704758335148	0.738095238095238	43.882116534131896	109	62.57584635416665	7.083333333333333	83.21032588166848	4.065789473684211	8	0.28	56.86433793799205	0.7482993197278912	51.56063513806731	109	64.83371864370748	7.178571428571429	60.96598405266109	4.027777777777778	
5	0.7	106.95187164755745	0.7108276643990928	83.67641632981329	109	60.75111762152779	8.471428571428572	126.23053357392467	5.033333333333333	18	0.63	93.70816600059388	0.7118606701940037	73.89540673952145	109	60.28211362670068	8.619047619047619	85.72658778042127	5.27027027027027	
6	0.86	94.01989723768435	0.6880549682875265	100.68366203100263	109	63.48319691968745	9.895348837209303	114.39827796645726	6.928571428571429	9	0.88	98.88751545661789	0.6869289485766757	83.85591357302866	109	63.79505871929519	9.977272727272727	118.17267794392087	6.916666666666667	
7	0.91	90.70972887493308	0.6677719716181254	102.82565924554267	109	63.0103016091147	11.175824175824175	110.27950966853665	8	82	0.92	64.9717514138823	0.6794821120908076	94.37366622130996	109	56.35914290433865	11.16304347826087	97.49905296716288	8.25	
8	0.92	85.02772643750906	0.6606760992630555	107.2073277023287	109	59.130695230381036	12.195652173913043	119.34190014590291	10.125	7	0.93	50.26211965809852	0.6671513074738877	95.20271050499544	109	54.8560950872884	12.46236559139785	90.89254785862211	9.428571428571429	
10	0.93	72.43554793769539	0.6236420512511598	101.31039249839097	109	61.463048389734965	14.387096774193548	111.83994107396951	13.142857142857142	85	0.95	75.79988829598292	0.6391999228841336	94.86285699390008	109	59.06284759773087	13.957894736842105	132.65030135585084	12.4	
12	0.95	64.34134778236313	0.6013500469439853	102.55567635975106	109	60.22927564558694	16.178947368421053	147.74454517867	14.6	38	0.96	66.02475928350535	0.6068549514103888	103.97906526233827	109	57.70811962080385	16.239583333333332	110.34093937635932	13.5	
14	0.95	58.63835565494805	0.5863016145768308	109.98803335719191	109	58.17962305086029	18.4	132.34323411465027	16	47	0.95	57.677129502303714	0.5857267958807805	106.88999449743466	109	62.10198114688644	18.13684210526316	133.44473346733514	16.8	
