index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			195				10.998	0	0	0			195				11.006	
2500	0	0			195				11	3	0	0			195				11.026	
3750	0	0			195				11.002	4	0	0			195				11.014	
3828	0	0			195				11	9	0	0			195				11.032	
3837	0	0			195				11.004	37	0	0			195				11.002	
3839	0	0			195				11	92	0	0			195				11.018	
3840	0	0			195				11	144	0	0			195				11.002	
3841	0.43	115.26914003859025	0.6276353450511056	67.12142137996854	195	11.69452076062408	15.12093023255814	105.94611151064598	11.480701754385965	206	0.292	74.1832223967541	0.575896985105126	49.09102571896646	195	10.471641907202375	15.068493150684931	66.0792584136898	11.480225988700566	
3842	0.408	102.7345520468925	0.5847111894678364	67.30737472289019	195	11.249933558553048	14.720588235294118	79.83452371772628	11.827702702702704	52	0.428	107.54849733664601	0.5778850134165734	71.05414573471944	195	11.104124796103164	14.467289719626168	86.56294611726044	11.534965034965035	
3847	0.436	114.23780328067565	0.6008570307236051	85.58249527735566	195	12.866105904124405	14.660550458715596	121.9198691978588	12.539007092198581	19	0.398	100.34288019350512	0.5717557314205414	52.45110717165043	195	11.68457394453657	14.517587939698492	79.36779406809427	11.548172757475083	
3852	0.346	82.38879893337607	0.5218495942844532	67.80368934302044	195	11.140671203212678	14.277456647398845	89.98991574671709	11.593272171253822	64	0.392	100.03572704525804	0.5546370424144559	53.62009101831925	195	11.621346383962525	14.51530612244898	82.43513728977763	11.55921052631579	
3853	0.27	73.27796775753953	0.5810299504417149	54.7623378517534	195	9.81109229175616	14.451851851851853	78.96474092698129	11.438356164383562	205	0.338	87.41530026360606	0.5373687241998377	62.20502104395953	195	10.969069025717154	14	92.11142891858378	11.510574018126889	
3854	0.77	216.03725941345002	0.4818692327534951	105.74386459157382	195	11.563340098296116	13.262337662337663	180.90501330064652	11.808695652173913	98	0.358	85.75671920666214	0.5421715179150278	56.160675127361515	195	11.838424438920274	14.312849162011172	77.15021760537465	11.722741433021806	
3857	0.722	202.8773743959275	0.5083832257308718	120.65470685500779	195	10.998933478530596	13.204986149584487	179.57000351596383	11.37410071942446	39	0.284	70.89012031345308	0.5283709356797264	47.13367554844796	195	12.808511648027055	14.295774647887324	64.53509092338463	11.502793296089385	
3858	0.266	70.5607724546013	0.5539298168304894	71.44217985111891	195	8.9494185094978	14.150375939849624	94.22145112113343	11.302452316076295	211	0.312	75.7208038051922	0.5393538606007349	50.30889753770696	195	12.390911455976893	14.423076923076923	66.85806082807017	11.450581395348838	
