index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			100				12.022	0	0	0			100				11.092	
2500	0	0			100				11.02	3	0	0			100				11.07	
3750	0	0			100				11	4	0	0			100				11.018	
3828	0	0			100				11	8	0	0			100				11.034	
3837	0	0			100				11.004	13	0	0			100				11.434	
3839	0	0			100				11	19	0	0			100				11.232	
3840	0	0			100				11	22	0	0			100				11.05	
3841	0.994	240.643005858477	0.3884140088616944	86.75936749310047	100	40.022379560792245	11.945674044265594	285.2234509801217	11.333333333333334	24	0.996	223.27833572449643	0.4121215513066181	61.9316561402847	100	40.987201098596785	12.259036144578314	188.96564334795028	11.5	
3842	0.996	241.7123719849711	0.40673982978199813	91.02115855674948	100	39.06628571352691	12.088353413654618	285.73087087350865	11.5	15	1	223.51363433158954	0.36774712493389056	105.19456848249534	100	43.27857215909283	11.768	330.81658456302597		
3847	0.996	239.52671829126268	0.43764068831396985	93.36274702919451	100	40.55094307569235	12.210843373493976	272.80997109957696	12	11	0.998	223.8672050247449	0.3850505677276871	84.0799085632788	100	42.226499733722804	12.060120240480963	250.6402128094839	11	
3867	0.996	230.74784542695485	0.4746519238236104	79.03606591749	100	39.41826962717485	12.670682730923694	225.48172050439518	12	9	0.996	218.2678821877512	0.4839699150434343	70.53289226968572	100	42.09656862374741	12.933734939759036	174.12541759214247	11.5	
3876	0.998	216.57986111076093	0.4897531416090196	79.79886327160838	100	42.10137015366841	12.871743486973948	192.59175406100894	13	243	1	227.89425706514518	0.38904679487179594	120.17480943872653	100	40.67709411854421	12.006	354.8870643930291		
3886	0.998	224.65334053665157	0.4092403642371224	91.52118981133931	100	40.21783272225499	12.196392785571142	283.5770279248272	11	139	0.998	215.58800656652363	0.48170425066570255	71.90646451485723	100	41.898344590945655	12.97194388777555	185.28393677605408	10	
3891	0.998	220.96267103559362	0.47736648788753033	89.50844371301577	100	42.22524299737878	12.735470941883767	243.37904910286332	12	297	1	219.6161110383931	0.4683268130390417	74.34970812310529	100	41.74160692318589	12.766	193.15964290363613		
3896	1	228.67596615635878	0.42067531439149053	86.19531441360283	100	40.553435167100055	12.334	229.4948837454768		140	1	222.895863053064	0.43279766325865393	81.58262681373974	100	41.014884735279324	12.496	217.09343658126545		
3901	0.998	225.51633750583918	0.45938657986282583	72.6196869427786	100	39.84678791700147	12.707414829659319	190.86745394268885	11	173	0.998	223.5763251035626	0.4501998219019719	77.38812583532423	100	40.9499966891911	12.569138276553106	197.9044962842866	10	
3906	0.994	211.95837598098964	0.5318439222675782	76.7336394715031	100	41.06606184235919	13.486921529175051	168.49758039118842	10.666666666666666	7	1	213.42894950260873	0.47356751817154236	77.08500710058557	100	43.04685232303892	12.848	195.77081631920794		
4062	0.994	218.51916989076227	0.5587935415647036	94.8764061621681	100	38.431161782158355	13.583501006036217	203.8102826039827	10.666666666666666	6	1	202.584984400509	0.4595666666666663	139.49665507990576	100	45.66331308977483	12.52	338.41926776326767		
4218	0.994	202.20513446487627	0.5749063596678694	100.50868264294348	100	43.20616758916068	13.820925553319919	188.32182016357703	13	25	0.996	205.9297853866426	0.5326764861447705	109.94088059405792	100	42.44284043135767	13.261044176706827	229.59031919286662	11	
4296	0.994	203.74697659179682	0.5756912653764353	98.57823246881772	100	43.681243338831706	13.655935613682093	197.33316446113082	12.333333333333334	37	0.998	202.16343232180853	0.5117148704381215	112.34548990793131	100	43.37188529871186	13.016032064128256	239.9300680967026	11	
4335	0.994	204.7205173620966	0.5577175131881855	98.40043518436336	100	43.496447733179345	13.575452716297788	202.3390534571683	10.666666666666666	50	1	203.88191159723672	0.5306026238467417	122.00284618495692	100	43.27969578690813	13.174	248.13746432066625		
4340	0.998	205.45971095675847	0.5010336221703221	105.16173183705787	100	42.92329886351906	13	224.17628597656045	12	198	0.998	202.6478232615307	0.5326543934896866	107.85327547171654	100	43.954671752379234	13.266533066132265	218.1080304142657	10	
4345	1	205.01886173498212	0.5420896511984745	100.18476756738073	100	43.85885933996369	13.456	206.0381884419336		196	1	200	0.5648009690601797	121.19513006050448	100	43.93710516425775	13.564	224.7481757489149		
