index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	address (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	address (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			196				21	0	0	0			196				21	
31250	0	0			196				118.206	7	0.002	0.00951895938735893	0.9464639808333093	104.13027842640595	196	108.66220544140467	126	29.698484809834998	111.29458917835672	
46875	0.003	0.009531411959539198	0.9436165005297946	64.6897266195126	196	104.6406313102329	150	4.040676148970224	127.27231695085256	9	0.0025	0.007648143780208404	0.930641717169177	41.1216666966077	196	103.52357929396992	118.8	5.947997999583194	126.98796992481203	
54687	0.006	0.018942826130744782	0.9357405119045974	65.3822050599055	196	106.10619346399933	120	6.128870843733744	126.74496981891348	12	0.001	0.0035899817251982538	0.973015873015873	144.48548562241106	196	108.33962673611111	108	2.121320343559643	123.79629629629629	
58593	0.0005	0.0014231551035551817	0.9696969696969697		196	107.48055013020833	144		129.63631815907954	15	0.006	0.023902525501007247	0.9497751498056113	121.74040478653905	196	100.72236917999037	124.5	6.364262618585792	117.74597585513078	
62500	0.0615	0.18338507376702098	0.9540698641607149	358.5242567154936	196	108.43598980316888	169.6829268292683	23.46676926982625	121.2898241875333	6	0.27	1.0625526726053536	0.9432543060801015	665.7053573962197	196	102.83266794591667	129.21666666666667	53.35089523702493	115.82534246575342	
66406	0.0035	0.008383282728245954	0.9405369720332092	56.010565954608595	196	106.23747936219215	105.42857142857143	6.911093994817978	131.59708981435023	14	0.0025	0.008510336995728535	0.9464177714177714	40.55448982600223	196	105.72065610532407	79.2	8.11827463065419	121.32982456140351	
70312	0	0			196				127.311	11	0	0			196				124.5535	
78125	0.0015	0.0036557809290338936	0.9575225943646997	38.861742161133485	196	104.61850364904836	150	2.9160592175990216	129.8542814221332	10	0.005	0.015256793964778748	0.953992432952619	87.47240844206249	196	109.20266848832337	120.6	8.60550905819713	132.51206030150755	
93750	0.0035	0.0075717013072001925	0.9335006287157478	44.23654776565774	196	105.9996258454521	127.28571428571429	4.248931386687258	127.87405920722529	8	0.009	0.023960037851535877	0.9599263119953046	179.25854081048584	196	103.98139594561137	146.5	7.189139709101472	129.89556004036328	
125000	0.004	0.011141397142343114	0.9439711335945551	47.75601194557456	196	107.30111300197201	144	3.814735138424961	120.56576305220884	4	0.0025	0.007256256888908648	0.938656162464986	75.68625719587965	196	111.68751068376068	95.4	3.5187024906392494	114.54937343358397	
250000	0.003	0.00620364584130336	0.9397952392138439	55.5037695129644	196	116.2678049127822	94.5	5.211062503347384	120.54112337011033	3	0.004	0.008200455207268418	0.9432542306016166	77.43907555867713	196	118.76882781028287	90	9.03696114115064	118.80421686746988	
375000	0.005	0.0070509833336612395	0.9498469638526646	92.17440284045543	196	124.79466053729993	144.9	4.153755601205193	120.20804020100502	5	0.0015	0.0021038529120689983	0.9685567199852914	88.18298613933284	196	119.43355999228395	111	6.930735005704536	123.49924887330997	
437500	0.006	0.006406194362869347	0.9491917618460346	108.7532087672696	196	130.0505496967361	132.75	6.712516170698684	125.53420523138833	13	0.009	0.011618788329494997	0.9541511809620451	100.63906559269321	196	130.6809070749455	152	6.556179853438446	127.06155398587286	
468750	0	0			196				124.583	16	0	0			196				125.53	
500000	0.001	0.0014004511693487323	0.9507722007722008	30.282616498643502	196	126.81085301959325	67.5	10.606601717798213	129.36486486486487	2	0.0005	0.0006529536390510198	0.9565217391304348		196	138.7003658234127	126		127.36468234117059	
625000	0	0			196				123.8805	19	0	0			196				123.1695	
687500	0	0			196				121.3745	20	0	0			196				119.0915	
703125	0	0			196				123.7095	24	0.0005	0.0006376711230313191	0.96875		196	150.68185763888889	54		122.02901450725362	
718750	0.014	0.015647718006661787	0.9580003318916672	155.29446274717674	196	147.7607620163597	116.35714285714286	10.179747891083641	117.11409736308316	22	0.0075	0.00942802201732282	0.9504698254170871	73.78344684212527	196	144.41131362858098	129	5.74193314271678	119.84785894206549	
750000	0.01	0.011370496778710031	0.9460772226029173	108.21650954996937	196	146.9581114703823	109.8	7.017157962102793	117.48333333333333	17	0.0075	0.009347300443548109	0.9450331960096594	127.5872557279352	196	148.65585945411192	106.8	6.253691648575922	120.99395465994962	
781250	0	0			196				112.5945	23	0	0			196				117.505	
812500	0	0			196				110.862	21	0	0			196				119.501	
875000	0	0			196				112.866	18	0.0015	0.0018211060730548843	0.9523670422404601	58.32638606814849	196	161.39381028163578	126	11.430952132988166	120.0951427140711	
1000000	0.0005	0.0006091520341748898	0.9659090909090909		196	160.39515128968253	126		105.39169584792396	1	0.0025	0.003283489524552088	0.9629691876750701	77.5200972147458	196	162.38037398726854	70.2	5.813776741499455	105.63157894736842	
