v8-version,7,0,276,38,-node.11,0
shared-library,/home/codio/.nvm/versions/node/v11.3.0/bin/node,0x400000,0x2349000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.19.so,0x7f444fec5000,0x7f4450083000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.19.so,0x7f445028e000,0x7f44502a7000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f44504ac000,0x7f44504c2000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.19.so,0x7f44506c2000,0x7f44507c7000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19,0x7f44509c8000,0x7f4450aae000,0
shared-library,/lib/x86_64-linux-gnu/librt-2.19.so,0x7f4450ccc000,0x7f4450cd3000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.19.so,0x7f4450ed4000,0x7f4450ed7000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.19.so,0x7f44510d8000,0x7f44510fb000,0
shared-library,[vdso],0x7fffc59ea000,0x7fffc59ec000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f445029c670,8644,0,0x0,6
code-creation,Builtin,3,9609,0x17daf8286f20,1380,RecordWrite
code-creation,Builtin,3,10727,0x17daf82874e0,44,AdaptorWithExitFrame
code-creation,Builtin,3,10769,0x17daf8287560,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,10811,0x17daf82875e0,246,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,10846,0x17daf8287720,181,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,10881,0x17daf8287820,238,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,10916,0x17daf8287960,263,CallFunction_ReceiverIsAny
code-creation,Builtin,3,10957,0x17daf8287ac0,133,CallBoundFunction
code-creation,Builtin,3,10991,0x17daf8287ba0,108,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,11025,0x17daf8287c60,108,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,11063,0x17daf8287d20,108,Call_ReceiverIsAny
code-creation,Builtin,3,11097,0x17daf8287de0,984,CallProxy
