v8-version,7,0,276,38,-node.11,0
code-creation,Builtin,3,2225,0xa059bf06f20,1380,RecordWrite
code-creation,Builtin,3,2265,0xa059bf074e0,44,AdaptorWithExitFrame
code-creation,Builtin,3,2272,0xa059bf07560,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2279,0xa059bf075e0,246,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2286,0xa059bf07720,181,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2293,0xa059bf07820,238,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2301,0xa059bf07960,263,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2313,0xa059bf07ac0,133,CallBoundFunction
code-creation,Builtin,3,2320,0xa059bf07ba0,108,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2330,0xa059bf07c60,108,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2337,0xa059bf07d20,108,Call_ReceiverIsAny
code-creation,Builtin,3,2348,0xa059bf07de0,984,CallProxy
code-creation,Builtin,3,2354,0xa059bf08200,81,CallVarargs
code-creation,Builtin,3,2364,0xa059bf082a0,1364,CallWithSpread
code-creation,Builtin,3,2377,0xa059bf08840,972,CallWithArrayLike
code-creation,Builtin,3,2384,0xa059bf08c60,106,CallForwardVarargs
code-creation,Builtin,3,2394,0xa059bf08d20,106,CallFunctionForwardVarargs
code-creation,Builtin,3,2401,0xa059bf08de0,26,ConstructFunction
code-creation,Builtin,3,2410,0xa059bf08e40,133,ConstructBoundFunction
code-creation,Builtin,3,2419,0xa059bf08f20,31,ConstructedNonConstructable
code-creation,Builtin,3,2429,0xa059bf08f80,86,Construct
code-creation,Builtin,3,2435,0xa059bf09020,81,ConstructVarargs
code-creation,Builtin,3,2443,0xa059bf090c0,1388,ConstructWithSpread
code-creation,Builtin,3,2452,0xa059bf09680,1052,ConstructWithArrayLike
code-creation,Builtin,3,2458,0xa059bf09ae0,148,ConstructForwardVarargs
code-creation,Builtin,3,2468,0xa059bf09bc0,148,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2475,0xa059bf09ca0,254,JSConstructStubGeneric
code-creation,Builtin,3,2485,0xa059bf09de0,170,JSBuiltinsConstructStub
code-creation,Builtin,3,2492,0xa059bf09ee0,697,FastNewObject
code-creation,Builtin,3,2502,0xa059bf0a1e0,335,FastNewClosure
code-creation,Builtin,3,2508,0xa059bf0a380,235,FastNewFunctionContextEval
code-creation,Builtin,3,2518,0xa059bf0a4c0,231,FastNewFunctionContextFunction
code-creation,Builtin,3,2525,0xa059bf0a600,246,CreateRegExpLiteral
code-creation,Builtin,3,2535,0xa059bf0a740,726,CreateEmptyArrayLiteral
code-creation,Builtin,3,2542,0xa059bf0aa60,1464,CreateShallowArrayLiteral
code-creation,Builtin,3,2552,0xa059bf0b060,1360,CreateShallowObjectLiteral
code-creation,Builtin,3,2559,0xa059bf0b600,988,ConstructProxy
code-creation,Builtin,3,2568,0xa059bf0ba20,110,JSEntryTrampoline
code-creation,Builtin,3,2575,0xa059bf0bae0,110,JSConstructEntryTrampoline
code-creation,Builtin,3,2585,0xa059bf0bba0,303,ResumeGeneratorTrampoline
code-creation,Builtin,3,2591,0xa059bf0bd20,17,InterruptCheck
code-creation,Builtin,3,2601,0xa059bf0bd80,17,StackCheck
code-creation,Builtin,3,2607,0xa059bf0bde0,711,StringCharAt
