v8-version,7,0,276,28,-node.5,0
code-creation,Builtin,3,954,0x3447d0006f20,1380,RecordWrite
code-creation,Builtin,3,969,0x3447d00074e0,44,AdaptorWithExitFrame
code-creation,Builtin,3,974,0x3447d0007560,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,978,0x3447d00075e0,246,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,983,0x3447d0007720,181,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,988,0x3447d0007820,238,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,994,0x3447d0007960,263,CallFunction_ReceiverIsAny
code-creation,Builtin,3,998,0x3447d0007ac0,133,CallBoundFunction
code-creation,Builtin,3,1003,0x3447d0007ba0,108,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1007,0x3447d0007c60,108,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1012,0x3447d0007d20,108,Call_ReceiverIsAny
code-creation,Builtin,3,1017,0x3447d0007de0,984,CallProxy
code-creation,Builtin,3,1021,0x3447d0008200,81,CallVarargs
code-creation,Builtin,3,1026,0x3447d00082a0,1364,CallWithSpread
code-creation,Builtin,3,1030,0x3447d0008840,972,CallWithArrayLike
code-creation,Builtin,3,1035,0x3447d0008c60,106,CallForwardVarargs
code-creation,Builtin,3,1039,0x3447d0008d20,106,CallFunctionForwardVarargs
code-creation,Builtin,3,1044,0x3447d0008de0,26,ConstructFunction
code-creation,Builtin,3,1048,0x3447d0008e40,133,ConstructBoundFunction
code-creation,Builtin,3,1052,0x3447d0008f20,31,ConstructedNonConstructable
code-creation,Builtin,3,1057,0x3447d0008f80,86,Construct
code-creation,Builtin,3,1061,0x3447d0009020,81,ConstructVarargs
code-creation,Builtin,3,1066,0x3447d00090c0,1388,ConstructWithSpread
code-creation,Builtin,3,1070,0x3447d0009680,1052,ConstructWithArrayLike
code-creation,Builtin,3,1075,0x3447d0009ae0,148,ConstructForwardVarargs
code-creation,Builtin,3,1079,0x3447d0009bc0,148,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1084,0x3447d0009ca0,254,JSConstructStubGeneric
code-creation,Builtin,3,1089,0x3447d0009de0,170,JSBuiltinsConstructStub
code-creation,Builtin,3,1094,0x3447d0009ee0,697,FastNewObject
code-creation,Builtin,3,1098,0x3447d000a1e0,335,FastNewClosure
code-creation,Builtin,3,1102,0x3447d000a380,235,FastNewFunctionContextEval
code-creation,Builtin,3,1107,0x3447d000a4c0,231,FastNewFunctionContextFunction
code-creation,Builtin,3,1111,0x3447d000a600,246,CreateRegExpLiteral
code-creation,Builtin,3,1116,0x3447d000a740,726,CreateEmptyArrayLiteral
code-creation,Builtin,3,1121,0x3447d000aa60,1464,CreateShallowArrayLiteral
code-creation,Builtin,3,1126,0x3447d000b060,1360,CreateShallowObjectLiteral
code-creation,Builtin,3,1131,0x3447d000b600,988,ConstructProxy
code-creation,Builtin,3,1135,0x3447d000ba20,110,JSEntryTrampoline
code-creation,Builtin,3,1139,0x3447d000bae0,110,JSConstructEntryTrampoline
code-creation,Builtin,3,1144,0x3447d000bba0,303,ResumeGeneratorTrampoline
code-creation,Builtin,3,1149,0x3447d000bd20,17,InterruptCheck
code-creation,Builtin,3,1153,0x3447d000bd80,17,StackCheck
code-creation,Builtin,3,1157,0x3447d000bde0,711,StringCharAt
code-creation,Builtin,3,1161,0x3447d000c100,838,StringCodePointAtUTF16
code-creation,Builtin,3,1165,0x3447d000c4a0,842,StringCodePointAtUTF32
code-creation,Builtin,3,1170,0x3447d000c840,592,StringEqual
code-creation,Builtin,3,1174,0x3447d000cae0,272,StringGreaterThan
code-creation,Builtin,3,1178,0x3447d000cc40,272,StringGreaterThanOrEqual
code-creation,Builtin,3,1183,0x3447d000cda0,1064,StringIndexOf
code-creation,Builtin,3,1187,0x3447d000d220,272,StringLessThan
code-creation,Builtin,3,1191,0x3447d000d380,272,StringLessThanOrEqual
code-creation,Builtin,3,1196,0x3447d000d4e0,194,StringRepeat
code-creation,Builtin,3,1201,0x3447d000d600,2862,StringSubstring
code-creation,Builtin,3,1205,0x3447d000e180,72,OrderedHashTableHealIndex
code-creation,Builtin,3,1210,0x3447d000e220,675,InterpreterEntryTrampoline
code-creation,Builtin,3,1214,0x3447d000e520,85,InterpreterPushArgsThenCall
code-creation,Builtin,3,1219,0x3447d000e5c0,91,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,1224,0x3447d000e660,88,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,1235,0x3447d000e700,84,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,1240,0x3447d000e7a0,84,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,1245,0x3447d000e840,87,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,1250,0x3447d000e8e0,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,1255,0x3447d000ea00,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,1260,0x3447d000eaa0,66,InterpreterOnStackReplacement
code-creation,Builtin,3,1265,0x3447d000eb40,899,CompileLazy
code-creation,Builtin,3,1269,0x3447d000ef20,104,CompileLazyDeoptimizedCode
code-creation,Builtin,3,1274,0x3447d0006de0,247,DeserializeLazy
code-creation,Builtin,3,1278,0x3447d000efe0,151,InstantiateAsmJs
code-creation,Builtin,3,1282,0x3447d000f0c0,35,NotifyDeoptimized
code-creation,Builtin,3,1286,0x3447d000f140,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,1291,0x3447d000f1c0,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,1295,0x3447d000f240,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,1300,0x3447d000f2c0,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,1304,0x3447d000f340,61,OnStackReplacement
code-creation,Builtin,3,1309,0x3447d000f3c0,15,HandleApiCall
code-creation,Builtin,3,1313,0x3447d000f420,15,HandleApiCallAsFunction
code-creation,Builtin,3,1318,0x3447d000f480,15,HandleApiCallAsConstructor
code-creation,Builtin,3,1322,0x3447d000f4e0,44,AllocateInNewSpace
code-creation,Builtin,3,1326,0x3447d000f560,64,AllocateInOldSpace
code-creation,Builtin,3,1331,0x3447d000f5e0,779,CopyFastSmiOrObjectElements
code-creation,Builtin,3,1335,0x3447d000f940,520,GrowFastDoubleElements
code-creation,Builtin,3,1340,0x3447d000fba0,480,GrowFastSmiOrObjectElements
code-creation,Builtin,3,1345,0x3447d000fdc0,343,NewArgumentsElements
code-creation,Builtin,3,1349,0x3447d000ff60,464,DebugBreakTrampoline
code-creation,Builtin,3,1354,0x3447d0010180,118,FrameDropperTrampoline
code-creation,Builtin,3,1358,0x3447d0010240,51,HandleDebuggerStatement
code-creation,Builtin,3,1363,0x3447d00102c0,402,ToObject
code-creation,Builtin,3,1367,0x3447d00104a0,151,ToBoolean
code-creation,Builtin,3,1371,0x3447d0010580,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,1376,0x3447d00106e0,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,1380,0x3447d0010840,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,1385,0x3447d0010980,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,1390,0x3447d0010ac0,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,1394,0x3447d0010c00,95,StringToNumber
code-creation,Builtin,3,1399,0x3447d0010ca0,103,ToName
code-creation,Builtin,3,1403,0x3447d0010d60,317,NonNumberToNumber
code-creation,Builtin,3,1407,0x3447d0010ee0,325,NonNumberToNumeric
code-creation,Builtin,3,1411,0x3447d0011080,269,ToNumber
code-creation,Builtin,3,1415,0x3447d00111e0,320,ToNumberConvertBigInt
code-creation,Builtin,3,1420,0x3447d0011360,357,ToNumeric
code-creation,Builtin,3,1424,0x3447d0011520,279,NumberToString
code-creation,Builtin,3,1428,0x3447d0011680,359,ToString
code-creation,Builtin,3,1433,0x3447d0011840,494,ToInteger
code-creation,Builtin,3,1437,0x3447d0011a80,510,ToInteger_TruncateMinusZero
code-creation,Builtin,3,1441,0x3447d0011cc0,546,ToLength
code-creation,Builtin,3,1445,0x3447d0011f40,156,Typeof
code-creation,Builtin,3,1449,0x3447d0012020,75,GetSuperConstructor
code-creation,Builtin,3,1453,0x3447d00120c0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,1463,0x3447d00121c0,10768,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,1469,0x3447d0014c20,3015,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,1473,0x3447d0015840,40,KeyedLoadIC_Slow
code-creation,Builtin,3,1486,0x3447d00158c0,15040,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,1490,0x3447d00193c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,1495,0x3447d0019440,40,LoadGlobalIC_Slow
code-creation,Builtin,3,1499,0x3447d00194c0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,1504,0x3447d0019560,40,LoadIC_Slow
code-creation,Builtin,3,1508,0x3447d00195e0,16,LoadIC_StringLength
code-creation,Builtin,3,1516,0x3447d0019640,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,1521,0x3447d00196a0,3368,LoadIC_Uninitialized
code-creation,Builtin,3,1525,0x3447d001a420,44,StoreGlobalIC_Slow
code-creation,Builtin,3,1531,0x3447d001a4a0,6732,StoreIC_Uninitialized
code-creation,Builtin,3,1536,0x3447d001bf40,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,1541,0x3447d001bfc0,1028,EnqueueMicrotask
code-creation,Builtin,3,1546,0x3447d001c420,1532,RunMicrotasks
code-creation,Builtin,3,1550,0x3447d001ca60,2416,HasProperty
code-creation,Builtin,3,1555,0x3447d001d420,1052,DeleteProperty
code-creation,Builtin,3,1559,0x3447d001d880,40,Abort
code-creation,Builtin,3,1563,0x3447d001d900,40,AbortJS
code-creation,Builtin,3,1567,0x3447d001d980,15,EmptyFunction
code-creation,Builtin,3,1571,0x3447d001d9e0,15,Illegal
code-creation,Builtin,3,1575,0x3447d001da40,15,StrictPoisonPillThrower
code-creation,Builtin,3,1580,0x3447d001daa0,15,UnsupportedThrower
code-creation,Builtin,3,1584,0x3447d001db00,36,ArrayConstructor
code-creation,Builtin,3,1589,0x3447d001db80,467,ArrayConstructorImpl
code-creation,Builtin,3,1593,0x3447d001dda0,243,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,1598,0x3447d001dee0,243,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,1603,0x3447d001e020,207,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,1609,0x3447d001e140,207,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,1615,0x3447d001e260,207,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,1620,0x3447d001e380,207,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,1625,0x3447d001e4a0,219,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,1631,0x3447d001e5c0,219,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,1637,0x3447d001e6e0,571,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,1642,0x3447d001e960,535,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,1647,0x3447d001ebc0,499,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,1653,0x3447d001ee00,459,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,1659,0x3447d001f020,499,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,1664,0x3447d001f260,459,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,1670,0x3447d001f480,507,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,1676,0x3447d001f6c0,463,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,1682,0x3447d001f8e0,72,ArrayNArgumentsConstructor
code-creation,Builtin,3,1686,0x3447d001f980,9,InternalArrayConstructor
code-creation,Builtin,3,1691,0x3447d001f9e0,110,InternalArrayConstructorImpl
code-creation,Builtin,3,1695,0x3447d001faa0,199,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,1700,0x3447d001fbc0,199,InternalArrayNoArgumentConstructor_Holey
code-creation,Builtin,3,1705,0x3447d001fce0,503,InternalArraySingleArgumentConstructor_Packed
code-creation,Builtin,3,1710,0x3447d001ff20,459,InternalArraySingleArgumentConstructor_Holey
code-creation,Builtin,3,1715,0x3447d0020140,15,ArrayConcat
code-creation,Builtin,3,1719,0x3447d00201a0,15,ArrayPrototypeFill
code-creation,Builtin,3,1724,0x3447d0020200,956,ArrayIncludesSmiOrObject
code-creation,Builtin,3,1728,0x3447d0020600,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,1733,0x3447d00206c0,176,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,1738,0x3447d00207c0,880,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,1742,0x3447d0020b80,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,1747,0x3447d0020c40,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,1751,0x3447d0020d00,15,ArrayPop
code-creation,Builtin,3,1755,0x3447d0020d60,15,ArrayPush
code-creation,Builtin,3,1762,0x3447d0020dc0,15,ArrayShift
code-creation,Builtin,3,1767,0x3447d0020e20,15,ArraySplice
code-creation,Builtin,3,1771,0x3447d0020e80,15,ArrayUnshift
code-creation,Builtin,3,1775,0x3447d0020ee0,1372,CloneFastJSArray
code-creation,Builtin,3,1780,0x3447d0021480,1394,ExtractFastJSArray
code-creation,Builtin,3,1785,0x3447d0021a40,3056,ArrayEveryLoopContinuation
code-creation,Builtin,3,1790,0x3447d0022680,134,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,1795,0x3447d0022760,492,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,1800,0x3447d00229a0,3044,ArraySomeLoopContinuation
code-creation,Builtin,3,1805,0x3447d00235e0,134,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,1810,0x3447d00236c0,484,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,1816,0x3447d0023900,5012,ArrayFilterLoopContinuation
code-creation,Builtin,3,1821,0x3447d0024ce0,134,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,1826,0x3447d0024dc0,758,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,1831,0x3447d0025100,2936,ArrayMapLoopContinuation
code-creation,Builtin,3,1836,0x3447d0025cc0,134,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,1841,0x3447d0025da0,380,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,1846,0x3447d0025f60,2976,ArrayReduceLoopContinuation
code-creation,Builtin,3,1851,0x3447d0026b40,130,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,1856,0x3447d0026c20,134,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,1861,0x3447d0026d00,134,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,1866,0x3447d0026de0,2912,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,1871,0x3447d0027980,146,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,1876,0x3447d0027a60,134,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,1881,0x3447d0027b40,134,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,1886,0x3447d0027c20,628,ArrayFindLoopContinuation
code-creation,Builtin,3,1891,0x3447d0027ee0,134,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,1896,0x3447d0027fc0,134,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,1900,0x3447d00280a0,293,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,1906,0x3447d0028220,620,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,1910,0x3447d00284e0,138,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,1915,0x3447d00285c0,138,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,1920,0x3447d00286a0,301,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,1927,0x3447d0028820,4008,FlattenIntoArray
code-creation,Builtin,3,1933,0x3447d0029820,4048,FlatMapIntoArray
code-creation,Builtin,3,1937,0x3447d002a840,15,ArrayBufferConstructor
code-creation,Builtin,3,1941,0x3447d002a8a0,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,1946,0x3447d002a900,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,1951,0x3447d002a960,15,ArrayBufferIsView
code-creation,Builtin,3,1955,0x3447d002a9c0,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,1960,0x3447d002aa20,15,BigIntConstructor
code-creation,Builtin,3,1964,0x3447d002aa80,15,BigIntAsUintN
code-creation,Builtin,3,1968,0x3447d002aae0,15,BigIntAsIntN
code-creation,Builtin,3,1972,0x3447d002ab40,15,BigIntPrototypeToLocaleString
code-creation,Builtin,3,1976,0x3447d002aba0,15,BigIntPrototypeToString
code-creation,Builtin,3,1981,0x3447d002ac00,15,BigIntPrototypeValueOf
code-creation,Builtin,3,1985,0x3447d002ac60,15,BooleanConstructor
code-creation,Builtin,3,1989,0x3447d002acc0,15,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,1994,0x3447d002ad20,15,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,1998,0x3447d002ad80,15,CallSitePrototypeGetFileName
code-creation,Builtin,3,2003,0x3447d002ade0,15,CallSitePrototypeGetFunction
code-creation,Builtin,3,2007,0x3447d002ae40,15,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2012,0x3447d002aea0,15,CallSitePrototypeGetLineNumber
